,train_f1tof4_w_ae1_latent_mae,train_f1tof4_w_ae1_latent_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
0,0.8075062856078148,1.038137424737215,0.808329239487648,0.0,0.0008229640443460084,0.0,0.0
1,0.4814373943954706,0.6589487213641405,0.48230408877134323,0.0,0.0008666927569720428,0.0,0.0
2,0.28021776396781206,0.4015838820487261,0.281167465262115,0.0,0.0009496982311247848,0.0,0.0
3,0.1294326209463179,0.20503734424710274,0.13049126090481877,0.0,0.0010586397474980913,0.0,0.0
4,0.07160837878473103,0.12895905133336782,0.07270334055647254,0.0,0.001094961196940858,0.0,0.0
5,0.05305111478082836,0.08803893602453172,0.054161026142537594,0.0,0.0011099114926764742,0.0,0.0
6,0.052153029246255755,0.07848299387842417,0.05327650997787714,0.0,0.001123480251408182,0.0,0.0
7,0.04642332508228719,0.07359130959957838,0.04753524181433022,0.0,0.0011119163755211048,0.0,0.0
8,0.04584447341039777,0.07259821752086282,0.04694510390982032,0.0,0.0011006308195646852,0.0,0.0
9,0.038914935663342476,0.0623674092348665,0.040022701025009155,0.0,0.0011077654708060436,0.0,0.0
10,0.03868765651714057,0.06384158309083432,0.0398057010024786,0.0,0.0011180444053024985,0.0,0.0
11,0.03594010346569121,0.057748411083593965,0.03704589058179408,0.0,0.0011057872980018146,0.0,0.0
12,0.03716890327632427,0.06471384910400957,0.03828735405113548,0.0,0.0011184508402948268,0.0,0.0
13,0.03400389291346073,0.055246816016733646,0.03512400982435793,0.0,0.00112011704914039,0.0,0.0
14,0.030709118698723614,0.048721661791205406,0.0318346960702911,0.0,0.0011255776844336651,0.0,0.0
15,0.02744887734297663,0.04677684884518385,0.028581427643075585,0.0,0.0011325503146508709,0.0,0.0
16,0.027905289083719254,0.044867558288387954,0.029033641680143774,0.0,0.001128352843807079,0.0,0.0
17,0.027291388949379325,0.042347228387370706,0.02842986909672618,0.0,0.0011384802855900489,0.0,0.0
18,0.022367933706846088,0.03622256591916084,0.023505686200223863,0.0,0.0011377526534488425,0.0,0.0
19,0.0212230003089644,0.03412618662696332,0.022363831289112568,0.0,0.0011408309219405055,0.0,0.0
20,0.02445921301841736,0.03622810007072985,0.025605532922782004,0.0,0.001146320028055925,0.0,0.0
21,0.021812381222844124,0.03037949337158352,0.02296315203420818,0.0,0.001150770862295758,0.0,0.0
22,0.02202045265585184,0.029584576841443777,0.02317168179433793,0.0,0.0011512289784150198,0.0,0.0
