UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
-0.44176003,5.2371063,3.693775,3.8
-1.1262623,3.8058121,3.9656184,3.74
-1.3316641,4.258268,2.3709474,2.44
-1.5097849,4.126507,3.4741917,3.14
-1.5558065,4.1225476,3.279377,3.29
-1.1320672,3.9188416,3.5379431,3.53
-3.3773222,2.9720376,3.024637,3.11
-2.004871,5.192527,3.6829488,3.81
11.341587,-2.493543,1.2870667,1.26
12.505226,-2.144795,3.5728762,3.63
12.547524,-2.2634487,3.152963,2.83
12.610219,-2.2318206,3.314081,3.19
9.50072,7.574928,2.5564811,2.61
10.392132,6.388054,2.004646,1.99
8.504184,6.557794,3.3996828,2.98
7.8555202,7.029915,2.0408611,2.04
-5.0612583,3.5447745,1.0873439,1.04
0.7993865,1.9897459,4.01632,3.98
0.97874206,3.0354621,3.8876987,3.58
-3.6732345,2.7671144,3.0595865,3.06
-3.4730017,2.8564017,3.225307,3.2
-4.016176,5.178076,0.58317405,0.67
-0.93994,5.9166317,3.1978922,3.38
-1.4173487,5.7646775,3.6913598,3.68
-1.7084818,4.6114945,3.883169,3.7
-4.1980643,5.8670325,1.3331442,1.36
-1.696116,4.7422576,4.3435926,4.36
9.158906,8.2471895,1.1604466,0.99
9.454704,7.5687895,2.597827,2.62
8.464589,6.717048,3.2006023,3.26
9.131349,4.8517265,2.1794703,2.24
6.9730177,6.040189,3.9668276,4.33
-4.676601,3.4539356,0.5478054,0.43
-2.6061924,3.0134406,2.3271773,2.91
-2.2622828,2.953769,3.3240879,3.31
-0.7364316,4.47598,3.738798,3.42
-0.767634,5.135509,3.7159579,3.67
1.4645607,5.535074,1.5451717,1.53
-1.2076991,4.030558,4.177755,3.96
-0.9707436,3.6442385,4.8963203,4.87
-4.731561,5.7279716,1.0751567,1.09
1.9001962,3.5760255,2.5243146,2.61
1.9311719,3.115757,3.5219455,3.48
0.44016495,1.762308,3.8684585,3.59
-5.217024,5.5062585,1.8566587,1.86
0.77712286,3.0397737,3.6077588,3.38
-5.1955333,3.7279384,0.78461915,0.8
0.2719558,1.7839968,4.2599607,4.25
-5.206292,4.796496,0.67011154,0.67
-5.368387,5.367423,0.99228305,0.94
2.2351315,5.527315,2.1076689,2.02
-4.2108827,3.3132806,0.87084925,0.84
11.35251,-1.9199626,2.9209504,2.85
10.436318,-2.2549803,2.027791,2
9.173674,8.228714,1.1211443,1.11
8.572757,6.5975866,3.357237,3.38
6.9972696,6.048402,3.8301146,4.37
6.5658493,5.9012794,2.6494725,2.64
12.499472,-2.8317487,3.7160397,3.79
11.405533,-1.848521,3.2378418,3.16
12.813806,-2.8615842,4.5552263,4.47
12.663374,-2.2083132,3.9303854,3.56
12.75121,-2.7679582,4.538429,4.31
12.526195,-2.7890542,3.650458,3.64
10.661427,5.874255,1.8615065,1.9
10.543803,5.7371492,1.8553836,1.94
10.626229,5.8235126,1.6669533,1.7
10.622317,5.723749,1.6287067,1.55
9.231825,4.951927,2.115399,2.14
9.133472,4.845741,2.1379316,2.17
9.171198,4.8554773,1.8629689,2.08
9.214525,4.9145055,1.827678,1.8
6.5620255,5.8419175,2.6731298,2.68
6.5625763,5.955948,2.6510522,2.74
6.571793,5.869112,2.3160152,2.39
6.657277,5.9116383,2.2595296,2.21
0.24150285,2.0322921,4.0185323,4.03
-5.2387547,3.8443763,0.5170628,0.55
1.8342927,5.222293,1.6343713,1.62
0.57827485,2.325377,3.600395,3.6
1.857991,5.2853723,1.7883313,1.78
-5.278256,5.0913486,0.9018078,1.62
0.5284974,1.9353127,3.8617,3.85
0.20175292,2.8840013,4.9984064,4.93
1.0132573,2.882381,4.1944056,4.19
-5.2020307,4.623285,0.5418074,0.5
0.28618348,2.1138277,3.9300187,3.71
-5.447287,5.3953977,0.95982224,0.91
1.8739609,5.323951,1.6683433,1.69
-5.2067246,4.942028,0.67788064,0.68
0.5720194,1.754252,4.2034345,4.19
7.8782606,6.4406376,4.6799183,4.73
-4.4717436,5.5327644,0.76659465,0.77
-0.91527396,4.4916563,4.091666,4.09
-3.5777745,2.7374904,3.2908494,3.26
-4.652117,5.027261,0.6439034,0.62
9.315917,7.2651916,3.6845515,3.66
1.4672947,5.1362414,1.5354996,1.53
1.4321595,5.0054674,1.4501324,1.45
-4.486394,5.2366943,0.63312805,0.61
8.481248,6.999731,1.7389138,1.98
-3.9703934,5.353863,0.61693805,0.62
-3.3431742,2.943402,3.2234056,3.18
-0.71789545,4.4392853,4.123628,4.07
-4.1816254,5.5216074,0.79095143,0.79
9.093372,8.225421,1.0112741,1.09
0.35212198,5.707122,1.9888122,1.97
-2.290848,2.887702,3.3017752,3.27
-4.63122,5.638446,0.8239388,0.75
-4.3081436,3.455054,0.49913236,0.45
