UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
-3.6492016,7.7817483,2.4104528,2.21
-3.6394384,7.9857855,3.2876306,3.8
-2.9344237,10.514032,3.7496433,3.74
-3.0786002,10.540884,2.479703,2.44
-3.1069536,10.089468,3.3265357,3.14
-3.0625672,9.9260645,3.2535648,3.29
-2.951481,10.458587,3.3875623,3.53
-2.557208,8.341648,3.038743,3.11
-3.9306788,10.105453,3.605939,3.81
15.404834,-2.5271099,1.2716436,1.26
14.701286,-2.711146,3.1056986,3.63
14.750149,-2.773908,2.8786435,2.83
14.734429,-2.8657,3.1189928,3.19
14.199309,7.408337,2.4401808,2.61
13.985034,8.216809,1.9950427,1.99
13.717492,6.3453345,3.3343058,2.98
12.734277,5.6472883,2.106814,2.04
-2.6068609,4.7590203,1.0217533,1.04
-0.85363394,9.20677,3.9900174,3.98
-1.3635062,10.080822,3.7835035,3.58
-2.3497741,8.787673,2.8635025,3.06
-2.4570897,8.79705,3.2376432,3.2
-4.1207056,6.5457497,0.64780337,0.67
-3.427921,8.135335,3.251389,3.38
-3.5832288,8.921779,3.8421412,3.68
-3.4608653,9.939475,3.7516913,3.7
-4.249199,4.7557693,1.3650966,1.36
-3.6804361,10.088398,4.3949122,4.36
14.940788,7.2042623,0.99568903,0.99
14.204339,7.229568,2.5786762,2.62
13.990825,6.291571,2.9377851,3.26
13.549989,9.86117,2.2825546,2.24
12.616709,5.8710885,4.14127,4.33
-2.9999895,4.4313526,0.32876062,0.43
-1.9135786,7.6973605,1.8648087,2.91
-1.9176942,8.077974,3.2632875,3.31
-2.228467,9.607579,3.515357,3.42
-2.911975,9.218355,3.7028008,3.67
-2.6710181,6.9931507,1.470153,1.53
-3.0070627,10.390408,4.0906134,3.96
-2.7021716,10.479707,4.882348,4.87
-4.054021,4.8371325,1.0524148,1.09
-1.128354,6.7998486,2.1223307,2.61
-0.617135,7.647525,3.4626598,3.48
-0.54896843,8.824153,3.5094728,3.59
-3.7910697,5.228036,1.9066846,1.86
-1.381604,10.126935,3.411725,3.38
-2.1132848,5.2833056,0.74956554,0.8
-0.5163178,9.041846,3.9871664,4.25
-3.02321,5.221934,0.487299,0.67
-3.678949,5.7354574,0.88485193,0.94
-3.214528,6.3075156,1.9638966,2.02
-3.2064986,4.307896,0.8064705,0.84
15.042365,-3.3561623,2.6860237,2.85
15.680511,-2.8149655,1.9885521,2.0
15.033851,7.137754,1.1266932,1.11
13.970048,6.287121,3.3907928,3.38
12.43567,5.8702497,4.15704,4.37
12.068041,5.577068,2.8954248,2.64
14.002653,-2.589725,3.7808456,3.79
14.764773,-3.4766598,3.1238022,3.16
13.93439,-2.76454,4.837087,4.47
14.227132,-3.1755476,3.764081,3.56
13.867875,-2.825994,4.578618,4.31
14.092247,-2.573249,3.6517987,3.64
14.054458,8.681399,1.879467,1.9
14.089308,8.707791,1.8706652,1.94
14.164484,8.800614,1.6724182,1.7
14.12784,8.726501,1.5753672,1.55
13.576781,9.936665,2.1716638,2.14
13.509959,9.972671,2.2239027,2.17
13.523648,9.865416,1.9751513,2.08
13.570579,9.908717,1.8515273,1.8
12.064912,5.5804467,2.8840113,2.68
12.061354,5.5450125,2.9366407,2.74
12.03415,5.527778,2.3616228,2.39
12.032275,5.5338054,2.23844,2.21
-0.3301068,9.073888,4.0227394,4.03
-2.361435,5.3071737,0.441301,0.55
-2.0826707,6.565762,1.5905312,1.62
-0.41919306,8.402341,3.460401,3.6
-2.190084,6.5463734,1.7467066,1.78
-3.6247702,5.0188103,0.84167266,1.62
-0.46040186,8.766098,3.8314967,3.85
-1.7976432,10.261778,4.4974957,4.93
-1.1416743,9.892555,4.157161,4.19
-2.8043826,5.4876266,0.4625309,0.5
-0.3728448,8.991835,3.9053102,3.71
-3.5656579,5.8105865,0.9157835,0.91
-2.1117373,6.6332703,1.6431468,1.69
-3.3352408,5.682206,0.71214926,0.68
-0.6310341,8.893325,4.1303988,4.19
13.193075,6.293954,4.767231,4.73
-3.8563685,4.6981277,0.6812878,0.77
-2.9806263,9.938588,4.137509,4.09
-2.4902556,8.917009,3.2782483,3.26
-3.9396791,6.285426,0.6172424,0.62
13.800011,6.974134,3.6684098,3.66
-2.6017234,7.0352993,1.4704584,1.53
-2.3921828,7.074898,1.4057747,1.45
-3.5182893,4.554333,0.50410247,0.61
14.301856,6.4714403,1.6416817,1.98
-3.9186227,4.3997793,0.5629338,0.62
-2.7178888,8.577559,3.1806636,3.18
-2.2411044,9.763581,4.04925,4.07
-4.301016,6.2329583,0.72752744,0.79
15.020956,7.0954475,1.0693252,1.09
-3.4958274,7.026981,1.9862899,1.97
-1.9281443,8.114265,3.2920785,3.27
-3.998441,4.7700634,0.66989,0.75
-3.3776035,4.307573,0.3617376,0.45
-2.5871866,6.9820666,1.5516839,1.59
-2.9723914,7.2561293,1.4715335,1.48
13.112966,6.1640906,4.907553,4.85
13.101292,6.465676,4.8526254,4.62
-2.955123,9.500377,3.7745638,3.8
-4.242823,4.584309,0.7677344,0.79
-2.2579172,5.2976875,0.42034504,0.47
-3.6598048,9.149074,3.8276443,3.78
-0.4586904,8.650331,3.53617,3.7
-3.726834,4.3299885,0.5276232,0.54
-3.7959073,6.2935925,0.5662595,0.58
-3.6730542,6.261139,0.44076633,0.46
15.055872,6.9995246,1.1005919,1.1
-3.3832157,8.9311905,3.6262627,3.55
-3.9827316,6.2048664,0.6896728,0.71
-3.836156,9.778793,4.2103457,4.16
-2.546369,10.36255,4.7098618,4.65
-3.3489356,4.175942,0.42064005,0.49
-2.2571325,5.2626696,0.43267173,0.46
13.392733,6.4321575,4.4949107,4.46
-2.968424,10.295239,4.468439,4.35
-2.8440888,7.2547836,1.3991395,1.44
-3.72037,5.0065417,0.9196219,0.93
14.29414,6.4371934,1.654997,1.72
14.477847,-3.6260543,3.4871864,3.51
-3.6984391,9.607418,4.0058036,3.93
12.559692,5.510243,1.9182401,2.11
-3.7861848,9.597339,4.0786605,4.02
13.71398,6.846465,3.9130278,3.93
13.452042,6.500887,4.404828,4.27
-2.9320612,8.669239,3.2828326,3.29
13.303449,7.016484,3.8953795,3.78
13.169152,6.5483694,4.552797,4.57
13.320312,6.8729415,4.0104547,3.94
-3.43317,7.0395665,1.9103869,1.89
-4.0838003,4.5498223,0.57232904,0.7
-3.224166,8.963891,3.3437896,3.32
15.010946,7.1482453,1.012355,1.03
-4.3252254,6.274414,0.6942042,0.67
14.930576,-2.573917,2.2053947,2.23
14.44193,-3.3603914,3.4608812,3.53
13.879127,-2.809946,4.493667,4.31
13.930754,-2.8229563,4.3623366,4.29
14.327242,-3.5541947,3.5547986,3.54
14.087765,-2.952461,4.0857377,4.02
14.540819,-2.4687772,2.6320972,2.64
15.00095,-3.6284697,3.2347016,3.39
11.9215,5.4859524,2.2979345,2.3
13.88281,9.462372,1.8598428,1.89
13.336771,9.705708,2.178995,2.26
13.563148,9.895263,2.0891716,2.09
14.006766,9.165731,1.8535525,1.83
13.768262,9.620819,1.9371425,1.98
-0.71931607,7.673861,3.474946,3.72
-0.66422606,7.6413994,3.4681969,3.5
-1.2497965,9.98115,4.1179705,4.07
-1.2087126,9.964485,3.901276,3.9
-1.1167932,9.839747,3.6427574,3.6
-0.34208697,9.092167,3.951499,4.01
-1.9322947,10.349845,4.53992,4.47
-0.27791673,8.972378,3.57381,3.65
-3.4922607,5.8125267,1.0126934,1.69
-3.9170144,10.0271015,4.5557323,4.64
-2.05047,8.489511,3.4378376,3.74
-1.944812,8.352163,3.613739,3.8
-3.0077462,9.803218,4.0672493,3.79
-3.0069036,9.634332,3.8467236,3.93
-2.8825982,9.507538,3.6289363,3.61
-2.1866379,9.805426,3.8148189,3.81
-2.287101,10.08689,3.9278455,3.52
-2.3706589,10.194991,4.25978,4.25
-2.0644965,9.317943,3.672606,3.78
-2.0911484,9.512817,3.7314143,3.77
14.984028,-2.2621045,2.3410718,2.16
13.801653,9.563007,1.9005761,1.87
13.675331,7.207424,3.7044783,3.69
14.183395,-3.219703,3.6592498,3.59
14.839736,7.3677125,1.0336576,1.11
14.5774555,7.958869,1.2019465,1.28
14.224497,8.739178,1.3985049,1.41
15.473581,-2.5300972,1.1426451,1.22
15.594156,-2.6376455,1.2868123,1.29
15.665831,-2.717287,1.5160432,1.53
14.056906,9.078117,1.83885,1.79
13.9968405,9.211846,1.8640407,1.87
13.736165,9.653962,1.9077044,1.95
-1.8428584,6.559851,1.50072,1.52
-1.9103245,6.5676613,1.6445397,1.6
-2.060467,6.558771,1.6324627,1.63
-1.6328455,6.0628953,0.8703733,0.97
-2.322154,5.0059595,0.44106779,0.56
-2.9616344,5.3814816,0.44689304,0.6
-3.1861482,5.0530543,0.5541016,0.61
14.77725,-2.2205873,3.0137858,3.048
15.152851,-2.3242757,2.2452285,2.11
15.278855,-2.4119284,1.4572116,1.467
14.324061,-2.4099488,2.4932957,2.465
14.981464,-2.6083982,1.3292496,1.341
14.379762,-2.3789568,2.723621,2.611
13.870271,-2.8621442,4.691669,4.708
