Features,value,Decision
A_IONRAD,0.03286367202650161,Accepted
A_IONRAD,0.20162485030968647,Accepted
A_IONRAD,0.2892053566145845,Accepted
A_IONRAD,0.30676196778893294,Accepted
A_IONRAD,0.29785594500905666,Accepted
A_IONRAD,0.33299441959314335,Accepted
A_IONRAD,0.2354996923334347,Accepted
A_IONRAD,0.23242062052451606,Accepted
A_IONRAD,0.2952586521677425,Accepted
A_IONRAD,0.18630154314228337,Accepted
A_IONRAD,0.17884777529070678,Accepted
A_IONRAD,0.2878623695679598,Accepted
A_IONRAD,0.3928787100738749,Accepted
A_IONRAD,0.12872253827482177,Accepted
A_IONRAD,0.1983076540215422,Accepted
A_IONRAD,0.2100801952681575,Accepted
A_IONRAD,0.2585741410963387,Accepted
A_IONRAD,0.37864272535265275,Accepted
A_IONRAD,0.18429340999760388,Accepted
A_IONRAD,0.2566575189399227,Accepted
A_IONRAD,0.43041296350237057,Accepted
A_IONRAD,0.23719223968332187,Accepted
A_IONRAD,0.015659100010240207,Accepted
A_IONRAD,0.2700654304760659,Accepted
A_IONRAD,0.46708274454841575,Accepted
A_IONRAD,0.13890310070576853,Accepted
A_IONRAD,0.1403018577711415,Accepted
A_IONRAD,0.12496025643471825,Accepted
A_IONRAD,-0.0987177236568563,Accepted
A_IONRAD,0.052303530528306365,Accepted
A_IONRAD,0.16634101531761797,Accepted
A_IONRAD,-0.012827420828614386,Accepted
A_IONRAD,0.13212408117407165,Accepted
A_IONRAD,0.14802401399474593,Accepted
A_IONRAD,0.08090010809919007,Accepted
A_IONRAD,0.17187545779320926,Accepted
A_IONRAD,0.08823512260163036,Accepted
A_IONRAD,0.008385590098881488,Accepted
A_IONRAD,0.07510365879460475,Accepted
A_IONRAD,0.22814087474078248,Accepted
A_IONRAD,0.2630142037574037,Accepted
A_IONRAD,0.2132931279263987,Accepted
A_IONRAD,0.1743260404666569,Accepted
A_IONRAD,-0.09374118893627292,Accepted
A_IONRAD,0.2882999867250633,Accepted
A_IONRAD,0.07788543640000875,Accepted
A_IONRAD,-0.06300818235540535,Accepted
A_IONRAD,0.09366088791335747,Accepted
A_IONRAD,0.17443342240220172,Accepted
A_IONRAD,0.27530667248228435,Accepted
A_IONRAD,0.2909438832045493,Accepted
A_IONRAD,0.044988544998863726,Accepted
A_IONRAD,0.11152608068195961,Accepted
A_IONRAD,0.06178987969033015,Accepted
A_IONRAD,0.3397900184979065,Accepted
A_IONRAD,0.11547651299027763,Accepted
A_IONRAD,0.10611033536760613,Accepted
A_IONRAD,0.18525477327826442,Accepted
A_IONRAD,0.14447169413076225,Accepted
A_IONRAD,0.2167813032123094,Accepted
A_IONRAD,0.10367956332077195,Accepted
A_IONRAD,0.08385533079727596,Accepted
A_IONRAD,0.07456973532755881,Accepted
A_IONRAD,0.032925343250223296,Accepted
A_IONRAD,-0.0902150290606191,Accepted
A_IONRAD,0.2521729669843827,Accepted
A_IONRAD,0.06997131308172937,Accepted
A_IONRAD,-0.01649094730276536,Accepted
A_IONRAD,0.11562622294574824,Accepted
A_IONRAD,0.17644868953956014,Accepted
A_IONRAD,0.11665767977349521,Accepted
A_IONRAD,0.1904025219168162,Accepted
A_IONRAD,0.02665203811680902,Accepted
A_IONRAD,0.17217520568270103,Accepted
A_IONRAD,0.013902135270753076,Accepted
A_IONRAD,0.09247110900844452,Accepted
A_IONRAD,0.16174718192306184,Accepted
A_IONRAD,0.25932173633641126,Accepted
A_IONRAD,0.1856556078341126,Accepted
A_IONRAD,0.20784453733252836,Accepted
A_IONRAD,0.1875450890497763,Accepted
A_IONRAD,-0.12021246011964648,Accepted
A_IONRAD,0.11500091046447163,Accepted
A_IONRAD,0.23651932873062367,Accepted
A_IONRAD,-0.026864397430800074,Accepted
A_IONRAD,0.17650954291164084,Accepted
A_IONRAD,0.14926348252091462,Accepted
A_IONRAD,0.017608083948806516,Accepted
A_IONRAD,0.22655297081623957,Accepted
A_IONRAD,0.15129135644400768,Accepted
A_IONRAD,0.2530356264123218,Accepted
A_IONRAD,0.22529342605578057,Accepted
A_IONRAD,0.12223450592572,Accepted
A_IONRAD,0.07607263098617277,Accepted
A_IONRAD,0.17351493714503083,Accepted
A_IONRAD,0.035607929389545254,Accepted
A_IONRAD,0.08852808175088205,Accepted
A_IONRAD,-0.07659685271587927,Accepted
A_IONRAD,0.13482728763766177,Accepted
A_IONRAD,0.16813166938978338,Accepted
A_IONRAD,0.16061441527059667,Accepted
A_IONRAD,-0.04010156610436322,Accepted
A_IONRAD,0.07960346226929055,Accepted
