Methods,value,Decision
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_DPM,-0.058103263287219424,Accepted
A_DPM,-0.06415152619089468,Accepted
A_DPM,-0.04032042057222691,Accepted
A_DPM,-0.07449716029697133,Accepted
A_DPM,-0.07553210299521988,Accepted
A_DPM,-0.013967541440965937,Accepted
A_DPM,-0.02531079343923207,Accepted
A_DPM,-0.042406557027680425,Accepted
A_DPM,-0.09597723311005803,Accepted
A_DPM,-0.11145561386194323,Accepted
A_DPM,-0.07211229706143255,Accepted
A_DPM,-0.04227798774704771,Accepted
A_DPM,-0.10048620833215052,Accepted
A_DPM,-0.08658178331060952,Accepted
A_DPM,-0.08392954403036844,Accepted
A_DPM,-0.04610607016346237,Accepted
A_DPM,-0.1120535439284708,Accepted
A_DPM,-0.055588840414997426,Accepted
A_DPM,-0.10698363523870279,Accepted
A_DPM,-0.06776142070156217,Accepted
A_DPM,-0.12032380465412384,Accepted
A_DPM,-0.08714644054019346,Accepted
A_DPM,-0.15328141448276056,Accepted
A_DPM,-0.07631062650894328,Accepted
A_DPM,-0.0835543661408141,Accepted
A_DPM,-0.09525823483977637,Accepted
A_DPM,-0.0789837126067619,Accepted
A_DPM,-0.07926126401863726,Accepted
A_DPM,-0.0101448336409436,Accepted
A_DPM,-0.08473841507736897,Accepted
A_DPM,-0.11324771809239632,Accepted
A_DPM,-0.10648332652706376,Accepted
A_DPM,-0.06435900261210227,Accepted
A_DPM,-0.06783073456703755,Accepted
A_DPM,-0.10719425972623291,Accepted
A_DPM,-0.07216229447821997,Accepted
