,train_x1tox8_mae,train_x1tox8_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
216,0.0007420319234370254,0.0009675394794612657,0.05048963730223477,0.049747605342417955,0.0,0.0,0.0
217,0.0006779742579965387,0.0008740771900193067,0.05033770902082324,0.04965973482467234,0.0,0.0,0.0
218,0.0005888599898753455,0.0007521997176809236,0.050164933782070875,0.0495760734193027,0.0,0.0,0.0
219,0.0006930433519301005,0.0009445127343497006,0.05018574860878289,0.049492705846205354,0.0,0.0,0.0
220,0.0010722374354372732,0.0014426333982555661,0.050481057027354836,0.04940881975926459,0.0,0.0,0.0
221,0.001374204508465482,0.0017242381145479158,0.050698952516540885,0.04932474810630083,0.0,0.0,0.0
222,0.0010253537548123859,0.001260507069673622,0.05026223626919091,0.04923688224516809,0.0,0.0,0.0
223,0.0011095738227595575,0.0013961334443592932,0.05026712385006249,0.04915754985995591,0.0,0.0,0.0
224,0.0006779634004487889,0.0008751637433306314,0.04975274810567498,0.04907478508539498,0.0,0.0,0.0
225,0.0006333160963549744,0.0008470687153021572,0.04962402954697609,0.04899071389809251,0.0,0.0,0.0
226,0.00048286199853464495,0.0006399945268640295,0.0493910969235003,0.04890823480673134,0.0,0.0,0.0
227,0.0005227526380622294,0.0006692178267257987,0.04934825631789863,0.04882550332695246,0.0,0.0,0.0
228,0.0009460318542551249,0.0011877528831973905,0.04969282331876457,0.04874679143540561,0.0,0.0,0.0
229,0.0008337339641002472,0.0010941740620182827,0.049494500271975994,0.04866076563484967,0.0,0.0,0.0
230,0.0007442392798111541,0.0010515291869523935,0.04932432156056166,0.048580082366243005,0.0,0.0,0.0
231,0.0007687842207815265,0.0010029335135186557,0.04926485847681761,0.04849607450887561,0.0,0.0,0.0
232,0.0007554203948529903,0.00101986216759542,0.04916897160001099,0.04841355117969215,0.0,0.0,0.0
233,0.0010815867099154275,0.001424811955075711,0.049411127576604486,0.04832954052835703,0.0,0.0,0.0
234,0.0008153643957484746,0.0010530071558605414,0.049065996427088976,0.048250631894916296,0.0,0.0,0.0
235,0.0007400912618322764,0.0010410514878458343,0.04890722641721368,0.048167134867981076,0.0,0.0,0.0
236,0.000796890190031263,0.001091440200980287,0.04888207791373134,0.048085188027471304,0.0,0.0,0.0
237,0.0008948347058321815,0.001165652611234691,0.04889454902149737,0.047999714501202106,0.0,0.0,0.0
238,0.0008119882040773518,0.0010779862677736674,0.04873135429807007,0.04791936627589166,0.0,0.0,0.0
239,0.000689810753101483,0.0009018604869197588,0.04852704401127994,0.04783723293803632,0.0,0.0,0.0
240,0.0008973104286269518,0.0011115283141407417,0.04865094320848584,0.04775363230146468,0.0,0.0,0.0
241,0.0018011615284194704,0.002223311697889585,0.049479275941848755,0.04767811391502619,0.0,0.0,0.0
242,0.0011046139916288666,0.0014007511963427532,0.04869913659058511,0.047594522358849645,0.0,0.0,0.0
243,0.0008819393715384649,0.001192844400065951,0.04839311959221959,0.04751117969863117,0.0,0.0,0.0
244,0.0008141090311255539,0.0011391961124900263,0.048249175772070885,0.04743506642989814,0.0,0.0,0.0
245,0.0008401048671657918,0.0010615678402245976,0.048193190479651093,0.04735308582894504,0.0,0.0,0.0
