val_x1tox8_mae,val_x1tox8_rmse,total_val_loss,epoch,step,train_x1tox8_mae,train_x1tox8_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
0.9835563898086548,1.2389997243881226,0.9835563898086548,0,15,,,,,,,
,,,0,15,0.9072726368904114,1.1729986667633057,0.9400683641433716,0.03279564902186394,0.0,0.0,0.0
0.9654483795166016,1.1924962997436523,0.9654483795166016,1,31,,,,,,,
,,,1,31,0.888477623462677,1.1288124322891235,0.9209548830986023,0.032477281987667084,0.0,0.0,0.0
0.9515960812568665,1.1556930541992188,0.9515960812568665,2,47,,,,,,,
,,,2,47,0.8737832903862,1.095905065536499,0.9059433937072754,0.03216012194752693,0.0,0.0,0.0
0.9413748979568481,1.1291016340255737,0.9413748979568481,3,63,,,,,,,
,,,3,63,0.8625956773757935,1.0675967931747437,0.8944352269172668,0.03183959797024727,0.0,0.0,0.0
0.9331399202346802,1.1114928722381592,0.9331399202346802,4,79,,,,,,,
,,,4,79,0.8541231155395508,1.0476977825164795,0.8856274485588074,0.031504400074481964,0.0,0.0,0.0
0.926129162311554,1.1023330688476562,0.926129162311554,5,95,,,,,,,
,,,5,95,0.8469613790512085,1.0306520462036133,0.8781059980392456,0.031144777312874794,0.0,0.0,0.0
0.9182815551757812,1.100010633468628,0.9182815551757812,6,111,,,,,,,
,,,6,111,0.8401707410812378,1.0234675407409668,0.8709374666213989,0.03076661005616188,0.0,0.0,0.0
0.9073009490966797,1.104103446006775,0.9073009490966797,7,127,,,,,,,
,,,7,127,0.8316877484321594,1.0284144878387451,0.8620953559875488,0.030407536774873734,0.0,0.0,0.0
0.8917131423950195,1.1151456832885742,0.8917131423950195,8,143,,,,,,,
,,,8,143,0.8197714686393738,1.0305652618408203,0.8499048948287964,0.03013349138200283,0.0,0.0,0.0
0.8684619069099426,1.1341235637664795,0.8684619069099426,9,159,,,,,,,
,,,9,159,0.8022024035453796,1.0540013313293457,0.83221435546875,0.030011901631951332,0.0,0.0,0.0
0.8485274314880371,1.1243066787719727,0.8485274314880371,10,175,,,,,,,
,,,10,175,0.7811374068260193,1.0638550519943237,0.8111343383789062,0.02999691106379032,0.0,0.0,0.0
0.8306212425231934,1.1072664260864258,0.8306212425231934,11,191,,,,,,,
,,,11,191,0.7645725011825562,1.042195200920105,0.7942813634872437,0.029708972200751305,0.0,0.0,0.0
0.8141514658927917,1.0907914638519287,0.8141514658927917,12,207,,,,,,,
,,,12,207,0.7490042448043823,1.017642617225647,0.7784836888313293,0.02947952225804329,0.0,0.0,0.0
0.7980883121490479,1.073350191116333,0.7980883121490479,13,223,,,,,,,
,,,13,223,0.7340553402900696,1.0045374631881714,0.7633201479911804,0.029264846816658974,0.0,0.0,0.0
0.7825907468795776,1.0555424690246582,0.7825907468795776,14,239,,,,,,,
,,,14,239,0.7193723917007446,0.9871550798416138,0.748437225818634,0.029064780101180077,0.0,0.0,0.0
0.7662534713745117,1.0410282611846924,0.7662534713745117,15,255,,,,,,,
,,,15,255,0.7049161791801453,0.9775625467300415,0.7338008880615234,0.02888462506234646,0.0,0.0,0.0
0.7495467066764832,1.0246961116790771,0.7495467066764832,16,271,,,,,,,
,,,16,271,0.6901386976242065,0.9594622850418091,0.7188564538955688,0.02871771529316902,0.0,0.0,0.0
0.7330431342124939,1.0101945400238037,0.7330431342124939,17,287,,,,,,,
,,,17,287,0.6751856803894043,0.9465618133544922,0.7037432789802551,0.028557589277625084,0.0,0.0,0.0
0.7161856293678284,0.995220959186554,0.7161856293678284,18,303,,,,,,,
,,,18,303,0.6598480343818665,0.9342363476753235,0.6882554292678833,0.028407374396920204,0.0,0.0,0.0
0.6985079646110535,0.9808740615844727,0.6985079646110535,19,319,,,,,,,
,,,19,319,0.6438990831375122,0.9250728487968445,0.6721580624580383,0.028259065002202988,0.0,0.0,0.0
0.6794754266738892,0.9681161046028137,0.6794754266738892,20,335,,,,,,,
,,,20,335,0.6269831657409668,0.9082375764846802,0.6551153063774109,0.028132151812314987,0.0,0.0,0.0
0.6584243178367615,0.9551135301589966,0.6584243178367615,21,351,,,,,,,
,,,21,351,0.6090940833091736,0.8984109163284302,0.6371131539344788,0.0280190147459507,0.0,0.0,0.0
0.6343506574630737,0.9451513290405273,0.6343506574630737,22,367,,,,,,,
,,,22,367,0.5885568857192993,0.8879910707473755,0.6165040731430054,0.02794715203344822,0.0,0.0,0.0
0.611681342124939,0.9280597567558289,0.611681342124939,23,383,,,,,,,
,,,23,383,0.5665651559829712,0.8764241337776184,0.5944685339927673,0.027903353795409203,0.0,0.0,0.0
0.591199517250061,0.9089738726615906,0.591199517250061,24,399,,,,,,,
,,,24,399,0.547343373298645,0.8553374409675598,0.5750303268432617,0.0276869498193264,0.0,0.0,0.0
0.5727046132087708,0.8920000195503235,0.5727046132087708,25,415,,,,,,,
,,,25,415,0.5292773842811584,0.8405838012695312,0.5567808747291565,0.02750346064567566,0.0,0.0,0.0
0.5579352974891663,0.8740464448928833,0.5579352974891663,26,431,,,,,,,
,,,26,431,0.5144532322883606,0.8173254132270813,0.5417863726615906,0.027333136647939682,0.0,0.0,0.0
0.5441380739212036,0.8560138940811157,0.5441380739212036,27,447,,,,,,,
,,,27,447,0.5011845827102661,0.8102198839187622,0.5283433198928833,0.02715882658958435,0.0,0.0,0.0
0.5297248959541321,0.8387651443481445,0.5297248959541321,28,463,,,,,,,
,,,28,463,0.4884603023529053,0.7943390607833862,0.5154612064361572,0.02700084075331688,0.0,0.0,0.0
0.5156780481338501,0.8213983774185181,0.5156780481338501,29,479,,,,,,,
,,,29,479,0.47564226388931274,0.7763105630874634,0.5025001764297485,0.026857957243919373,0.0,0.0,0.0
0.5019217729568481,0.8046296238899231,0.5019217729568481,30,495,,,,,,,
,,,30,495,0.46264925599098206,0.7543185353279114,0.4893757402896881,0.026726514101028442,0.0,0.0,0.0
0.48756614327430725,0.7874583005905151,0.48756614327430725,31,511,,,,,,,
,,,31,511,0.44989967346191406,0.7460666298866272,0.4765070378780365,0.026607343927025795,0.0,0.0,0.0
0.4730263650417328,0.7707303762435913,0.4730263650417328,32,527,,,,,,,
,,,32,527,0.4367178976535797,0.7274907827377319,0.46322059631347656,0.02650277316570282,0.0,0.0,0.0
0.4584830403327942,0.7538723945617676,0.4584830403327942,33,543,,,,,,,
,,,33,543,0.423267662525177,0.7118033766746521,0.4496721625328064,0.02640450932085514,0.0,0.0,0.0
0.443469762802124,0.7369120717048645,0.443469762802124,34,559,,,,,,,
,,,34,559,0.41011476516723633,0.6911454796791077,0.43643420934677124,0.02631937526166439,0.0,0.0,0.0
0.4277530610561371,0.7201943397521973,0.4277530610561371,35,575,,,,,,,
,,,35,575,0.3958752751350403,0.6820012927055359,0.4221114218235016,0.02623615600168705,0.0,0.0,0.0
0.4119245111942291,0.7031598687171936,0.4119245111942291,36,591,,,,,,,
,,,36,591,0.3817177414894104,0.6600218415260315,0.40787991881370544,0.026162248104810715,0.0,0.0,0.0
0.395376056432724,0.6865676641464233,0.395376056432724,37,607,,,,,,,
,,,37,607,0.3666430413722992,0.6465725302696228,0.3927362859249115,0.026093263179063797,0.0,0.0,0.0
0.37779203057289124,0.6695665121078491,0.37779203057289124,38,623,,,,,,,
,,,38,623,0.3513885736465454,0.6253929138183594,0.37744003534317017,0.02605145238339901,0.0,0.0,0.0
0.3598787188529968,0.6530232429504395,0.3598787188529968,39,639,,,,,,,
,,,39,639,0.3350726068019867,0.6167426705360413,0.36113524436950684,0.026062656193971634,0.0,0.0,0.0
0.3412874639034271,0.6365529894828796,0.3412874639034271,40,655,,,,,,,
,,,40,655,0.3183853328227997,0.5995810627937317,0.34447017312049866,0.026084834709763527,0.0,0.0,0.0
0.32068756222724915,0.6198466420173645,0.32068756222724915,41,671,,,,,,,
,,,41,671,0.30073243379592896,0.5879114866256714,0.32685068249702454,0.02611825428903103,0.0,0.0,0.0
0.29927241802215576,0.6037179827690125,0.29927241802215576,42,687,,,,,,,
,,,42,687,0.28166913986206055,0.5695277452468872,0.3078327178955078,0.026163598522543907,0.0,0.0,0.0
0.27619409561157227,0.5880240201950073,0.27619409561157227,43,703,,,,,,,
,,,43,703,0.26174142956733704,0.5537604093551636,0.28797048330307007,0.026229053735733032,0.0,0.0,0.0
0.2594369947910309,0.5729348063468933,0.2594369947910309,44,719,,,,,,,
,,,44,719,0.2426825761795044,0.5417801141738892,0.26898035407066345,0.02629777416586876,0.0,0.0,0.0
0.24179160594940186,0.557736873626709,0.24179160594940186,45,735,,,,,,,
,,,45,735,0.22790184617042542,0.5257666110992432,0.25420814752578735,0.026306306943297386,0.0,0.0,0.0
