UMAP1,UMAP2,Predicted Binding Energy,True Binding Energy
12.896517,11.805608,13.418646,13.61
12.096162,12.260471,11.93322,13.58
8.561194,0.82336557,12.892552,13.49
12.23135,12.459659,13.525077,13.49
-1.7683672,0.25967476,12.474694,13.45
-3.2460387,-0.18958278,12.715146,13.43
8.144684,0.6463896,13.257573,13.42
-1.9038882,-0.2767552,14.165153,13.4
11.999062,10.674057,13.550649,13.36
14.27883,12.9082775,12.984106,13.26
8.022054,0.34341714,13.0301075,13.24
-3.215066,-0.37701517,13.000957,13.19
-2.0103004,-0.40612274,12.956668,13.14
11.99719,10.749792,13.028153,13.11
-1.8181531,0.31436598,13.856571,13.08
9.520955,0.090187885,11.871542,13.06
-0.89735305,-2.5496383,11.983772,13.05
9.293642,0.5575002,12.839494,13.01
12.855851,12.544522,12.341908,13.0
12.514558,11.269716,12.897842,13.0
9.041422,-0.27177307,12.598496,12.86
-0.79189134,-2.134441,12.204917,12.73
12.954664,12.654512,13.666843,12.71
-3.3735154,0.014119177,13.257667,12.68
13.54832,12.676229,12.971578,12.63
-0.94416255,-2.3864207,11.637555,12.52
9.513891,-0.23482253,12.460122,12.43
-2.7522936,-0.00094930764,13.464864,12.3
-1.6384106,0.40109807,13.583698,12.26
13.022806,11.768502,12.475236,12.26
9.266292,0.6940303,12.573103,12.25
12.807004,12.647289,11.395103,12.22
-1.7644103,-0.32738996,11.790189,12.18
12.188828,12.389152,11.993752,12.17
-1.5237635,-0.40974858,12.949695,12.13
-1.6693157,-0.21304296,12.451192,12.12
7.8678107,0.41993558,12.249412,12.11
9.589044,-0.4001349,11.355191,12.02
-1.5125674,0.3268965,11.969071,11.96
14.094243,12.796341,12.896127,11.92
12.17307,10.863828,12.834498,11.86
-0.9823713,-1.7717217,10.755895,11.86
9.126089,-0.021056952,11.768258,11.81
9.422765,-1.2958302,11.032678,11.78
13.813678,12.852227,11.987853,11.75
-1.5110341,-0.26274952,11.209163,11.21
-1.1555661,-1.8927394,12.299234,11.2
9.527941,-1.3001682,10.9740305,10.92
-0.87887406,-2.3024433,11.011614,10.87
-0.7661315,-2.2170424,10.6547365,10.59
12.093142,12.477657,11.185851,10.56
-1.1362638,0.16496617,10.031774,10.53
-2.9968262,0.3444038,9.742879,10.01
11.738685,11.376765,9.489366,9.81
8.781339,1.2363561,9.550703,9.58
11.747639,11.244351,9.560272,9.4
13.866567,13.163954,7.90353,9.39
9.37128,1.0308131,9.301607,9.38
11.813468,11.750949,8.335557,9.38
9.075229,1.1860788,9.281801,9.33
11.697996,11.416213,9.10264,9.27
14.047632,13.189458,9.119934,9.09
-1.1519419,-0.19170663,8.739596,9.07
-3.1049538,0.27754286,8.8885145,9.04
9.680051,1.1219484,7.067866,9.01
9.450202,-1.3454878,11.525001,8.78
-1.2844191,0.32751608,8.823771,8.72
9.490138,0.9381355,8.925083,8.64
-3.1875181,0.3112125,9.26776,8.63
9.28877,1.3858705,8.546194,8.58
12.124449,12.28118,12.612825,8.42
9.4709635,-0.72823024,11.758657,8.39
8.97676,0.358767,13.344678,8.18
13.915936,12.624777,13.763596,8.07
-1.1307384,-0.19081825,7.8165436,7.69
9.74922,1.3096616,7.738166,7.63
9.601318,1.1662464,7.872672,7.62
-0.5942417,-1.9240977,7.345372,7.51
11.7868185,11.938735,7.5419745,7.49
-0.6642438,-1.768445,7.895967,7.46
9.826753,1.2163085,7.4223285,7.46
-0.9314428,-1.9128903,11.293479,7.18
-0.7479492,-1.3252772,7.2904243,7.01
11.81551,12.279966,7.0916405,7.0
12.367976,12.916789,6.9927216,6.85
14.132718,13.07655,8.981152,6.8
9.688455,1.000421,7.5086927,5.72
9.487423,-1.362167,11.318091,5.41
