HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap
-1.0,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742
0.07784669,0.08697422,-0.04,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187
0.07784669,0.08697422,-0.03,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834909,0.00022619637,0.009032234,0.00018940806,0.9903639,0.007990363,0.0030476474,0.009606059,0.009845345,0.0093949195,0.9601155,0.61711806,0.38143733,0.0014445983,3.022308
0.07784669,0.08697422,-0.02,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834915,0.00022620831,0.009030948,0.00018940812,0.9903652,0.008058168,0.0030659633,0.009759533,0.009977106,0.009206438,0.9599328,0.6172562,0.38130915,0.001434686,3.0351975
0.07784669,0.08697422,-0.01,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834886,0.00022621982,0.009029651,0.00018940783,0.99036646,0.008126482,0.003084362,0.009915376,0.010110543,0.009021661,0.9597416,0.6173942,0.38118094,0.0014248425,3.048087
0.07784669,0.08697422,8.881784e-16,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834855,0.0002262313,0.009028354,0.00018940751,0.99036765,0.008195305,0.0031028467,0.010073623,0.010245682,0.008840521,0.95954204,0.61753225,0.38105273,0.0014150653,3.0609763
0.07784669,0.08697422,0.01,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001883486,0.00022624325,0.009027073,0.00018940758,0.9903689,0.008264644,0.0031214154,0.0102343075,0.010382529,0.008662941,0.9593342,0.6176702,0.3809245,0.0014053549,3.0738657
0.07784669,0.08697422,0.02,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001883485,0.00022625498,0.009025781,0.00018940747,0.9903702,0.008334487,0.003140066,0.010397458,0.010521119,0.00848885,0.959118,0.61780804,0.38079622,0.0013957123,3.086755
0.07784669,0.08697422,0.03,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834838,0.00022626673,0.009024489,0.00018940735,0.9903715,0.008404852,0.0031588005,0.010563119,0.010661461,0.008318185,0.95889354,0.61794585,0.38066798,0.0013861342,3.0996444
0.07784669,0.08697422,0.04,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834845,0.00022627866,0.00902321,0.00018940741,0.9903728,0.008475739,0.00317762,0.010731332,0.010803583,0.008150882,0.9586609,0.61808366,0.38053975,0.0013766239,3.1125338
0.07784669,0.08697422,0.05,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834815,0.00022629018,0.009021914,0.00018940712,0.9903741,0.0085471505,0.0031965242,0.010902127,0.0109475115,0.007986876,0.95841974,0.61822134,0.38041145,0.0013671756,3.1254232
0.07784669,0.08697422,0.06,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834803,0.00022630191,0.009020626,0.00018940699,0.99037534,0.008619098,0.0032155165,0.011075556,0.011093268,0.007826111,0.9581705,0.618359,0.38028318,0.0013577936,3.1383126
0.07784669,0.08697422,0.07,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001883481,0.00022631386,0.009019344,0.00018940707,0.99037665,0.008691567,0.0032345918,0.011251644,0.01124086,0.007668511,0.9579128,0.61849666,0.3801549,0.0013484758,3.1512017
0.07784669,0.08697422,0.08,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834816,0.00022632559,0.009018056,0.00018940696,0.9903779,0.008764569,0.0032537484,0.011430416,0.011390311,0.0075140144,0.95764685,0.6186342,0.3800266,0.0013392216,3.1640913
0.07784669,0.08697422,0.09,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834787,0.00022633711,0.009016757,0.00018940665,0.9903792,0.008838095,0.003272989,0.01161193,0.011541636,0.0073625618,0.95737284,0.6187717,0.3798983,0.0013300308,3.1769805
0.07784669,0.08697422,0.1,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834794,0.00022634908,0.009015478,0.00018940672,0.9903805,0.008912168,0.003292316,0.011796215,0.011694882,0.007214101,0.9570904,0.6189091,0.37976998,0.0013209021,3.1898699
0.07784669,0.08697422,0.11,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001883478,0.00022636054,0.009014191,0.00018940658,0.99038166,0.008986779,0.0033117263,0.01198333,0.011850053,0.0070685707,0.95679957,0.6190465,0.37964168,0.0013118356,3.202759
