HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap
-0.99,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018862425,0.0002242356,0.009136736,0.00018968676,0.9902608,0.60805506,0.00018072224,0.0015647883,0.00048719355,0.011053821,0.3786584,0.60978335,0.3881436,0.002073006,2.9992821
-0.98,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001886216,0.00022424763,0.009136424,0.00018968392,0.990261,0.595164,0.00018939306,0.0016161309,0.00050327665,0.01142035,0.3911069,0.6097794,0.3881472,0.002073407,2.9940903
-0.97,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018861913,0.00022426009,0.009136117,0.00018968144,0.99026126,0.58213997,0.00019834118,0.0016679933,0.0005195273,0.011790785,0.40368327,0.6097754,0.38815078,0.0020738067,2.988898
-0.96,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001886165,0.00022427214,0.009135807,0.00018967879,0.9902616,0.5690011,0.00020756619,0.001720311,0.0005359261,0.012164688,0.41637048,0.60977143,0.38815436,0.0020742074,2.9837062
-0.95,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018861402,0.00022428439,0.0091355005,0.0001896763,0.99026185,0.55576366,0.00021706599,0.0017730083,0.00055244955,0.012541535,0.4291522,0.60976744,0.38815793,0.0020746093,2.9785142
-0.94,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001886114,0.00022429666,0.0091351895,0.00018967366,0.9902622,0.54244685,0.00022683856,0.0018260169,0.00056907657,0.01292083,0.44201037,0.6097635,0.38816154,0.0020750086,2.9733222
-0.93,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001886091,0.00022430911,0.009134894,0.00018967134,0.9902624,0.52906924,0.00023688079,0.0018792592,0.0005857829,0.013302035,0.4549268,0.60975945,0.3881651,0.0020754102,2.96813
-0.92,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018860683,0.0002243216,0.009134602,0.00018966905,0.99026275,0.51564974,0.0002471896,0.0019326622,0.00060254545,0.013684624,0.46788323,0.60975546,0.38816866,0.0020758114,2.9629383
-0.91,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018860419,0.00022433365,0.009134292,0.00018966642,0.9902631,0.50220746,0.00025776078,0.0019861448,0.0006193396,0.014068042,0.48086122,0.6097516,0.38817227,0.002076212,2.9577463
-0.9,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018860173,0.0002243459,0.009133989,0.00018966392,0.99026334,0.48876202,0.00026858962,0.0020396337,0.0006361416,0.014451756,0.49384192,0.6097475,0.38817582,0.002076613,2.9525545
-0.89,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018859928,0.0002243584,0.009133687,0.00018966147,0.9902637,0.47533274,0.00027967108,0.002093049,0.00065292773,0.014835199,0.50680643,0.60974354,0.3881794,0.0020770135,2.9473622
-0.88,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018859663,0.00022437042,0.009133376,0.0001896588,0.99026394,0.461939,0.00029099945,0.0021463123,0.0006696728,0.01521783,0.5197362,0.60973966,0.388183,0.0020774151,2.9421704
-0.87,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018859417,0.00022438272,0.009133074,0.00018965633,0.9902643,0.44860014,0.0003025694,0.0021993518,0.0006863542,0.0155991195,0.53261256,0.6097356,0.38818654,0.0020778156,2.9369786
-0.86,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018859154,0.00022439499,0.009132763,0.00018965369,0.99026465,0.4353346,0.0003143743,0.0022520884,0.00070294755,0.015978519,0.54541755,0.6097316,0.38819012,0.0020782182,2.9317863
-0.85,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018858905,0.00022440721,0.009132456,0.00018965118,0.9902648,0.42216086,0.00032640746,0.0023044494,0.00071943033,0.016355505,0.55813336,0.6097276,0.38819373,0.0020786198,2.9265945
-0.84,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001885866,0.00022441949,0.009132155,0.00018964872,0.99026513,0.40909693,0.00033866198,0.0023563644,0.0007357799,0.016729567,0.5707427,0.6097237,0.38819733,0.0020790205,2.9214025
-0.83,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018858396,0.00022443155,0.009131844,0.00018964606,0.9902654,0.39616045,0.00035113064,0.0024077625,0.00075197464,0.01710023,0.58322847,0.6097197,0.38820088,0.0020794235,2.9162102
-0.82,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001885815,0.00022444382,0.009131542,0.0001896436,0.9902658,0.38336733,0.000363807,0.002458583,0.00076799485,0.017467022,0.5955753,0.6097157,0.3882045,0.0020798245,2.9110184
-0.81,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018857907,0.00022445632,0.009131241,0.00018964095,0.99026614,0.3707337,0.00037668337,0.002508757,0.0007838195,0.017829463,0.6077675,0.60971177,0.3882081,0.0020802265,2.9058263
-0.8,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018857639,0.00022446837,0.00913093,0.00018963827,0.9902664,0.3582744,0.00038975192,0.0025582286,0.00079943036,0.01818715,0.6197911,0.6097078,0.38821164,0.0020806284,2.9006345
-0.79,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018857396,0.00022448065,0.009130624,0.00018963583,0.99026674,0.34600362,0.00040300534,0.0026069395,0.0008148097,0.018539669,0.631632,0.6097038,0.38821524,0.0020810307,2.8954425
-0.78,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018857131,0.00022449273,0.009130314,0.00018963318,0.9902671,0.33393428,0.0004164373,0.0026548395,0.0008299417,0.018886648,0.6432778,0.6096998,0.38821882,0.002081432,2.8902504
-0.77,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018856885,0.00022450519,0.00913001,0.0001896307,0.99026734,0.32207873,0.0004300401,0.0027018816,0.00084481086,0.01922775,0.65471685,0.6096958,0.3882224,0.0020818342,2.8850586
-0.76,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018856622,0.00022451725,0.0091297,0.00018962806,0.9902677,0.31044802,0.00044380673,0.0027480207,0.0008594037,0.019562665,0.66593814,0.6096918,0.38822597,0.0020822375,2.8798664
-0.75,0.08697422,-0.5848699,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018856375,0.00022452974,0.0091293985,0.00018962556,0.99026793,0.29905173,0.0004577289,0.0027932124,0.0008737055,0.019891044,0.6769326,0.6096878,0.38822952,0.0020826377,2.8746746
