HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap
0.07784669,0.08697422,0.95,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833934,0.00022734987,0.008906666,0.00018939681,0.9904883,0.018572578,0.27554852,0.06892586,0.036728248,0.010217393,0.5900074,0.6304146,0.36885008,0.0007352717,4.3322783
0.07784669,0.08697422,0.96,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833902,0.00022736142,0.008905385,0.0001893965,0.9904895,0.018500533,0.28711262,0.06967785,0.03676285,0.010161783,0.5777844,0.63054806,0.36872166,0.00073021796,4.3476696
0.07784669,0.08697422,0.97,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833873,0.000227373,0.008904101,0.0001893962,0.9904908,0.018415015,0.29893836,0.07038551,0.03677003,0.010098933,0.56539214,0.6306815,0.36859322,0.00072519894,4.363061
0.07784669,0.08697422,0.98,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.0001883388,0.000227385,0.008902839,0.00018939626,0.99049205,0.018315936,0.31101438,0.0710462,0.036749188,0.01002883,0.5528454,0.63081497,0.36846486,0.0007202137,4.378452
0.07784669,0.08697422,0.99,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833867,0.00022739658,0.008901565,0.00018939616,0.99049336,0.018203326,0.32332855,0.07165774,0.03670002,0.009951525,0.54015887,0.63094825,0.36833644,0.00071526354,4.393843
0.07784669,0.08697422,1.0,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833838,0.00022740835,0.008900286,0.00018939584,0.9904946,0.018077202,0.33586618,0.07221777,0.03662212,0.00986706,0.5273497,0.6310816,0.36820802,0.000710347,4.4092345
0.07784669,0.08697422,1.01,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833842,0.00022742034,0.00889902,0.0001893959,0.9904958,0.017937671,0.3486126,0.072724335,0.036515336,0.009775537,0.5144345,0.6312149,0.3680796,0.0007054639,4.4246264
0.07784669,0.08697422,1.02,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833832,0.00022743191,0.00889775,0.0001893958,0.9904971,0.017784895,0.36155146,0.07317548,0.036379546,0.009677063,0.5014315,0.63134813,0.3679512,0.000700615,4.440017
0.07784669,0.08697422,1.03,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833819,0.00022744371,0.008896476,0.00018939565,0.99049836,0.017619058,0.37466526,0.073569424,0.036214743,0.009571778,0.4883597,0.63148135,0.36782286,0.00069579866,4.455409
0.07784669,0.08697422,1.04,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833826,0.00022745592,0.008895216,0.00018939574,0.9904997,0.017440453,0.387936,0.07390489,0.036021143,0.009459875,0.4752377,0.6316145,0.36769444,0.00069101603,4.4708004
0.07784669,0.08697422,1.05,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833796,0.0002274675,0.008893937,0.00018939542,0.9905009,0.017249353,0.40134424,0.074180335,0.035798874,0.009341531,0.4620856,0.6317476,0.36756608,0.0006862654,4.4861917
0.07784669,0.08697422,1.06,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833783,0.00022747928,0.0088926675,0.00018939529,0.9905021,0.017046144,0.4148703,0.07439483,0.035548363,0.009216994,0.44892347,0.63188076,0.36743772,0.0006815473,4.5015826
0.07784669,0.08697422,1.07,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833789,0.00022749125,0.008891401,0.00018939534,0.9905033,0.016831238,0.42849344,0.07454754,0.035270065,0.009086505,0.4357713,0.6320138,0.36730936,0.0006768624,4.5169744
0.07784669,0.08697422,1.08,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833776,0.00022750304,0.008890128,0.00018939523,0.99050456,0.016605094,0.44219252,0.07463787,0.0349646,0.008950348,0.42264953,0.6321468,0.367181,0.0006722089,4.532366
0.07784669,0.08697422,1.09,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018833765,0.00022751484,0.008888859,0.00018939511,0.9905059,0.01636823,0.45594627,0.074665554,0.03463265,0.008808827,0.4095784,0.63227975,0.36705267,0.0006675877,4.5477567
