,train_x1tox8_mae,train_x1tox8_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
320,0.0027168199376319535,0.003512034221785143,0.08355900086462498,0.08084218064323068,0.0,0.0,0.0
321,0.003042425087187439,0.0039362038660328835,0.0837584757246077,0.08071605022996664,0.0,0.0,0.0
322,0.002740816635196097,0.0034625241823960096,0.08333290461450815,0.0805920884013176,0.0,0.0,0.0
323,0.002877806415199302,0.0035372863349039108,0.08337453007698059,0.0804967237636447,0.0,0.0,0.0
324,0.0025051944539882243,0.003183432374498807,0.08286085166037083,0.08035565819591284,0.0,0.0,0.0
325,0.0029951625620014966,0.0037514213763643056,0.0832660123705864,0.0802708500996232,0.0,0.0,0.0
326,0.0028659586678259075,0.003675210115034133,0.0829795771278441,0.0801136177033186,0.0,0.0,0.0
327,0.0024742194218561053,0.0032139480317709967,0.08247807715088129,0.08000385854393244,0.0,0.0,0.0
328,0.0025017724037752487,0.0032281835738103837,0.08239565324038267,0.07989388098940253,0.0,0.0,0.0
329,0.003067362151341513,0.0038743596960557625,0.08285614149644971,0.07978877937421203,0.0,0.0,0.0
330,0.0028670201572822407,0.0035879601928172633,0.0825153891928494,0.0796483694575727,0.0,0.0,0.0
331,0.002803803756251,0.003552523674443364,0.08237978490069509,0.07957598054781556,0.0,0.0,0.0
332,0.0027459871052997187,0.0034838861611206084,0.08217468345537782,0.07942869747057557,0.0,0.0,0.0
333,0.002365216743783094,0.0029568945610662922,0.08170679165050387,0.07934157503768802,0.0,0.0,0.0
334,0.0024911337459343486,0.003109290701104328,0.08171717217192054,0.0792260393500328,0.0,0.0,0.0
335,0.0027555172273423523,0.0034752630454022437,0.08187054563313723,0.07911502802744508,0.0,0.0,0.0
336,0.0024809425231069326,0.003122727677691728,0.08148069633170962,0.07899975404143333,0.0,0.0,0.0
337,0.0029565991571871564,0.00373999317525886,0.08185387728735805,0.07889727829024196,0.0,0.0,0.0
338,0.003316765825729817,0.004291650519007817,0.08212075382471085,0.07880398817360401,0.0,0.0,0.0
339,0.0028072001150576398,0.003571022316464223,0.08145053731277585,0.07864333782345057,0.0,0.0,0.0
340,0.0028537137695821,0.0036967812629882246,0.08140299376100302,0.07854928076267242,0.0,0.0,0.0
341,0.003118326683761552,0.004114113748073578,0.08155807619914412,0.07843974977731705,0.0,0.0,0.0
342,0.002917667108704336,0.0038163533754413947,0.08124262886121869,0.07832496101036668,0.0,0.0,0.0
343,0.0026378305919934064,0.0034438876900821924,0.08086231723427773,0.07822448620572686,0.0,0.0,0.0
344,0.002477821042702999,0.003191266267094761,0.08060493180528283,0.07812711084261537,0.0,0.0,0.0
345,0.002525495772715658,0.0032088160805869848,0.08051830204203725,0.07799280667677522,0.0,0.0,0.0
