UMAP1,UMAP2,Predicted Binding Energy
2.3567,9.449531,13.54
3.237262,9.424731,10.08
3.790793,9.466035,8.87
3.9313061,9.461614,8.28
0.028274696,8.099427,57.96
0.13768327,8.090202,48.7
0.4485251,8.029812,40.15
1.1003543,7.9390826,32.76
1.5322678,7.952985,25.6
1.6986322,7.967959,19.55
0.09903185,8.135487,55.05
0.24138476,8.109747,45.8
0.54593104,8.039107,37.46
1.2139459,7.9729023,30.07
1.6146255,7.969829,23.29
1.7773719,7.998497,17.64
0.24312927,8.176019,52.15
0.41953516,8.123584,42.89
0.84595513,8.151948,34.76
1.4927461,8.094111,27.38
1.9049394,8.132884,21.2
2.0753074,8.165301,16.12
0.6252714,8.366704,49.24
0.74776614,8.330063,39.99
1.1385527,8.281572,32.07
1.818585,8.293828,25.0
2.236423,8.354492,19.3
2.361911,8.370028,15.61
0.90699804,8.464844,46.34
1.0269006,8.459511,37.09
1.5022576,8.512687,29.56
2.0838916,8.491619,22.96
2.5196989,8.522808,18.63
2.6992936,8.548052,15.56
0.9788874,8.504268,43.44
1.1580142,8.508865,34.34
1.5574998,8.538214,27.14
2.2052903,8.56232,21.74
2.6432915,8.668173,18.12
2.8453102,8.680128,16.04
0.09973567,8.1917715,54.68
0.22108804,8.167653,45.43
0.57227796,8.110775,36.89
1.1238035,7.9368315,29.51
1.6240052,8.017343,22.14
1.8006793,8.029108,16.51
0.16620767,8.231663,51.78
0.30114853,8.201445,42.52
0.5826963,8.109435,34.2
1.3080938,8.013218,26.82
1.6976156,8.062031,20.03
1.887346,8.070028,14.64
0.37551048,8.311099,48.87
0.52752006,8.283511,39.62
0.94515854,8.298894,31.51
1.5236087,8.19472,24.15
2.028653,8.224479,18.16
2.1637626,8.253383,13.56
0.6245196,8.423721,45.97
0.75854254,8.394265,36.72
1.2038472,8.398438,28.82
1.8216261,8.377684,21.77
2.358896,8.524875,16.44
2.5176046,8.498105,13.57
0.99112946,8.604992,43.07
1.0458666,8.53599,33.81
1.5442605,8.567994,26.4
2.184083,8.59936,19.85
2.6915758,8.670795,15.89
2.87503,8.690195,14.05
1.1666075,8.661557,40.16
1.2764592,8.562609,31.16
