UMAP1,UMAP2,Predicted Binding Energy
-7.867922,11.198026,55.45
-7.8561034,11.210739,40.29
-4.378664,15.256565,27.98
-4.349155,15.268127,17.27
-7.9833527,11.287323,50.61
-7.992519,11.332183,35.81
-4.615459,15.286399,23.5
-4.598127,15.304583,14.5
-8.775489,13.078037,45.77
-8.729323,13.1047735,31.32
-5.435554,15.4572935,20.01
-5.434867,15.53016,13.7
-8.891981,13.232882,40.93
-8.839,13.265171,27.11
-5.777642,15.54299,18.62
-5.646471,15.57634,14.51
-7.845154,11.142811,49.99
-7.828959,11.097261,34.86
-4.247978,15.162589,22.82
-4.214804,15.166401,12.52
-7.930633,11.211271,45.15
-7.883858,11.216194,30.38
-4.5557537,15.181143,18.64
-4.5122647,15.208722,10.61
-8.8317995,12.970458,40.31
-8.750007,13.049032,25.98
-5.435247,15.410385,15.14
-5.4141316,15.466444,11.19
-8.8939905,13.113281,35.47
-8.890657,13.075132,22.22
-5.689452,15.507264,14.59
-5.6101766,15.499092,11.99
-6.0565267,9.86197,44.53
-6.07077,9.856391,29.55
-3.212219,14.921634,18.34
-3.1838434,14.909438,8.94
-6.0507383,9.745838,39.69
-6.0015097,9.783553,25.36
-3.0983531,14.800451,14.72
-3.1042519,14.810688,8.21
-4.88226,8.837809,34.86
-4.886035,8.844048,21.36
-2.2273724,12.920836,11.81
-2.1945662,13.040326,9.01
-4.7831726,8.727595,30.37
-4.784867,8.747641,18.19
-2.1555655,12.852218,11.72
-2.105164,12.929108,9.8
-5.964126,9.781882,39.08
-5.9211726,9.7800255,25.06
-2.9292393,14.849267,14.74
-2.9621859,14.874206,7.09
-5.825414,9.577409,34.49
-5.850718,9.591295,21.25
-2.8378828,14.687315,11.27
-2.8282332,14.686504,6.75
-4.9414835,8.825802,29.96
-4.9373097,8.846235,17.75
-2.1943324,12.905683,9.3
-2.1922662,13.005373,7.37
-4.766375,8.694532,26.08
-4.7418756,8.712225,14.93
-2.1508126,12.825773,9.35
-2.1088548,12.922612,8.28
-7.7447467,11.320763,59.63
-7.7048197,11.335216,44.2
-4.2791944,15.434802,31.85
-4.2276063,15.414831,21.23
-7.9100404,11.446026,54.79
-7.9064713,11.467143,39.67
-4.5300627,15.417462,27.58
-4.537806,15.494548,18.01
-8.560311,13.02165,49.95
-8.529722,13.053786,35.18
-5.4078894,15.631281,24.17
-5.3283896,15.636427,16.75
-8.593991,13.156513,45.11
-8.569622,13.197579,31.09
-5.6820045,15.805206,21.77
-5.6163254,15.745013,17.07
-7.730936,11.258585,54.17
-7.667194,11.1916275,38.75
-4.14591,15.282687,26.42
-4.0819254,15.313387,16.07
-7.862251,11.400727,49.33
-7.8980503,11.481715,34.24
-4.3785872,15.334497,22.08
-4.419321,15.327177,13.66
-8.48511,13.002562,44.49
-8.472467,12.980379,29.87
-5.4034142,15.470935,18.84
-5.3018327,15.566291,13.74
-8.592146,13.110799,39.73
-8.529206,13.097696,25.83
-5.622209,15.654738,17.25
-5.4950333,15.625197,14.55
-6.0572987,9.858869,48.71
-6.0598836,9.853409,33.3
-3.303699,14.848235,21.29
-3.2426467,14.802622,12.22
-5.979398,9.713487,43.87
-6.0520144,9.712319,28.82
-3.1773138,14.734925,17.77
-3.192414,14.692139,10.66
-5.018297,8.860428,39.03
-4.948461,8.879313,24.73
-2.2237182,13.028302,14.78
-2.2136407,13.1701145,11.23
-4.8674736,8.72021,34.44
-4.7930317,8.757254,21.05
-2.213719,12.949431,14.37
-2.1672745,13.069354,12.03
-5.9428716,9.7766075,43.26
-5.918001,9.813156,28.03
-2.959378,14.736325,17.53
-2.9862998,14.699921,9.38
-5.8534837,9.551878,38.42
-5.8987036,9.619544,24.18
-2.8716033,14.616811,14.17
-2.9092762,14.519352,8.56
-4.9484544,8.833823,33.58
-4.912243,8.781824,20.81
-2.259335,12.989274,11.71
-2.2455378,13.107896,9.06
-4.8325095,8.691451,29.45
-4.7971973,8.706409,17.51
-2.1417177,12.921648,11.92
-2.1443388,13.036596,9.86
-7.119542,12.354196,63.81
-7.0733004,12.405512,48.38
-4.1168,15.840623,35.78
-4.043032,15.841991,25.71
-7.327614,12.540859,58.97
-7.3114634,12.580103,43.54
-4.1651855,15.933888,32.04
-4.094362,15.938114,22.47
-7.721992,13.2826185,54.13
-7.681807,13.296713,39.11
-5.1618137,16.73413,28.65
-5.102361,16.758018,20.22
-7.8023047,13.442899,49.32
-7.7515655,13.468163,35.08
-5.3206997,16.892838,25.91
-5.2231565,16.928429,19.88
-7.0149446,12.358259,58.35
-7.019774,12.364272,42.92
-3.946166,15.668372,30.28
-3.9349601,15.697045,20.11
-7.1713758,12.503388,53.51
-7.1587057,12.602038,38.11
-4.0360203,15.762583,26.44
-4.0219994,15.81552,17.31
-7.684201,13.268062,48.67
-7.6516476,13.247364,33.85
-5.1007023,16.784391,23.08
-5.0881467,16.733982,16.53
-7.680767,13.439446,44.03
-7.6960673,13.390076,29.82
-5.2132983,16.889845,20.79
-5.1637053,16.896637,17.1
-4.858306,12.299315,52.89
-4.7901893,12.401632,37.47
-3.4523113,14.530745,24.86
-3.362921,14.6128025,15.88
-4.6364517,12.439881,48.05
-4.620673,12.5592375,32.68
-3.3529787,14.419503,20.86
-3.2708445,14.4943285,14.09
-4.0454307,12.613087,43.21
-3.889757,12.829383,28.59
-2.5658348,13.51695,18.43
-2.3442588,13.453588,14.08
-3.7927408,12.693653,38.74
-3.6387608,12.802123,24.56
-2.5052125,13.351024,17.43
-2.326416,13.364235,14.59
-4.741684,12.320618,47.43
-4.6989183,12.462142,32.01
