UMAP1,UMAP2,Predicted Binding Energy,True Binding Energy
4.4535456,4.635347,13.22334,13.36
6.132224,4.9047575,12.542969,13.26
12.066704,0.3150806,13.1250515,13.24
12.884892,11.276629,13.2179575,13.19
13.144538,11.202352,12.500833,13.14
4.950542,5.472443,13.096918,13.11
13.399144,11.30955,13.783015,13.08
12.500497,1.6984442,12.151563,13.06
13.057966,10.751399,11.716999,13.05
12.356974,1.7175379,12.527911,13.01
5.379598,3.7791417,12.269488,13.0
5.046646,5.3965454,12.909699,13.0
12.358677,0.04548512,12.576579,12.86
13.306086,10.399234,12.724578,12.73
5.459096,3.725759,13.188676,12.71
11.731649,10.607091,12.974054,12.68
4.9997735,4.170073,13.054366,12.63
11.514302,11.05771,11.858531,12.52
12.511955,-0.088678434,12.252193,12.43
11.598399,10.82498,13.162793,12.3
13.481452,11.179956,14.129006,12.26
6.0635633,4.7987638,12.040347,12.26
12.089018,1.7877352,13.004827,12.25
6.2394257,4.3122644,12.007712,12.22
13.480314,11.040375,11.934091,12.18
5.639029,3.6829057,12.065127,12.17
13.470977,11.038116,12.96799,12.13
11.598578,10.980163,12.275457,12.12
12.133353,1.7059414,11.725779,12.11
12.687394,1.8318136,11.732495,12.02
11.8179865,11.319502,12.613009,11.96
5.81624,5.0482764,12.797035,11.92
5.1281695,5.322892,12.23944,11.86
11.257256,11.258231,10.901355,11.86
12.414491,1.866442,11.666246,11.81
12.692777,1.8571223,11.514702,11.78
6.039935,4.823383,12.245693,11.75
11.728177,11.272923,11.408999,11.21
13.290217,10.619547,11.923299,11.2
12.812596,1.7543207,11.970022,10.92
13.266017,10.435163,10.885898,10.87
11.23888,11.4181595,10.822539,10.59
6.311982,4.1548314,12.155698,10.56
-3.887601,-0.26173288,9.636373,10.53
-3.9568012,-0.1276171,10.098308,10.01
-3.8686082,1.1206689,9.722951,9.81
-4.734886,0.55581754,9.528195,9.58
-4.012766,1.3103093,10.142203,9.4
-3.8040802,1.0418814,8.146069,9.39
-4.661834,0.42066568,8.927422,9.38
-3.860023,1.1716027,8.492183,9.38
-4.6793385,0.5466963,9.340552,9.33
-4.036667,1.314647,8.989368,9.27
-3.7988877,1.1173285,9.088297,9.09
-3.9990888,-0.2067264,8.574084,9.07
-3.939217,-0.041626625,8.908565,9.04
-4.4706006,0.6380567,7.7195635,9.01
12.6246395,0.2610944,12.06484,8.78
-4.0535774,-0.057303235,8.723749,8.72
-4.5810127,0.43796185,8.503906,8.64
-4.136815,0.06441886,9.861012,8.63
-4.7683425,0.5225353,8.251281,8.58
