Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
I,I,I,0,0,1,MA,IIIMA,NMP,18.57,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.14E-01,4.09E-01,8.02E-01,-1.07E-01,-7.17E-01,-9.63E-01,9.81E-03,-7.20E-03,9.89E-01,-5.17E-01,-5.04E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,DMF,18.42,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.25E-01,-5.75E-01,7.93E-01,-8.80E-02,-7.13E-01,-9.65E-01,1.66E-02,4.84E-03,8.66E-01,1.61E-01,-4.99E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,DMF,18.39,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.77E-01,-8.45E-01,-9.93E-01,-7.79E-02,-6.57E-01,-9.81E-01,7.15E-02,6.73E-01,-8.55E-01,-8.27E-01,-6.11E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,I,0,0,1,Cs,IIICs,DMF,18.34,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,4.07E-01,4.17E-01,-7.63E-01,-6.46E-02,-7.31E-01,9.91E-01,-1.57E-02,8.40E-01,9.90E-01,-4.36E-01,-7.81E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,FA,IBrClFA,DMF,18.29,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.72E-01,-1.29E-01,-9.93E-01,-7.44E-02,-6.70E-01,-9.80E-01,6.42E-02,6.70E-01,-7.36E-01,-7.87E-01,-7.95E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,FA,IBrBrFA,DMF,18.17,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.23E-01,-6.00E-01,-9.93E-01,-8.76E-02,-6.59E-01,-9.81E-01,6.81E-02,6.70E-01,-5.65E-01,-9.13E-01,-6.13E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,I,0,0,1,MA,IIIMA,DMF,17.68,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.14E-01,4.09E-01,8.02E-01,-1.07E-01,-7.17E-01,-9.63E-01,9.81E-03,-7.20E-03,9.89E-01,-5.17E-01,-5.04E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,FA,IBrBrFA,NMP,17.59,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.23E-01,-6.00E-01,-9.93E-01,-8.76E-02,-6.59E-01,-9.81E-01,6.81E-02,6.70E-01,-5.65E-01,-9.13E-01,-6.13E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,NMP,17.13,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.77E-01,-8.45E-01,-9.93E-01,-7.79E-02,-6.57E-01,-9.81E-01,7.15E-02,6.73E-01,-8.55E-01,-8.27E-01,-6.11E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,MA,IIBrMA,DMF,16.99,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.70E-01,-1.10E-01,7.97E-01,-9.77E-02,-7.15E-01,-9.64E-01,1.32E-02,-1.18E-03,9.60E-01,-2.02E-01,-5.02E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,FA,IIBrFA,DMF,16.84,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.68E-01,-1.47E-01,-9.93E-01,-9.73E-02,-6.62E-01,-9.80E-01,6.48E-02,6.66E-01,-8.34E-03,-9.57E-01,-6.15E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,ACETONE,16.57,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.34E-02,-1.11E-01,-9.93E-01,-5.13E-02,-6.77E-01,-9.80E-01,6.36E-02,6.73E-01,-9.54E-01,-2.10E-01,-8.96E-01,2,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,I,Br,0,0.333333333,0.666666667,FA,IIBrFA,NMP,16.28,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.68E-01,-1.47E-01,-9.93E-01,-9.73E-02,-6.62E-01,-9.80E-01,6.48E-02,6.66E-01,-8.34E-03,-9.57E-01,-6.15E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,FA,IIClFA,NMP,15.96,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.19E-01,3.92E-01,-9.92E-01,-8.41E-02,-6.72E-01,-9.79E-01,6.08E-02,6.66E-01,-3.01E-01,-8.92E-01,-7.97E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,ACETONE,15.87,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.30E-02,4.54E-01,7.97E-01,-3.85E-02,-7.37E-01,-9.63E-01,8.12E-03,1.12E-02,-2.19E-01,9.63E-01,-9.30E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,ACETONE,15.83,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.29E-01,4.62E-01,-7.68E-01,4.60E-03,-7.50E-01,9.90E-01,-1.74E-02,8.46E-01,-1.49E-01,9.70E-01,-9.73E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Br,Br,0,1,0,Cs,BrBrBrCs,ACETONE,15.63,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,2.80E-01,-8.31E-01,-7.79E-01,-3.54E-02,-7.25E-01,9.89E-01,-5.55E-03,8.46E-01,6.39E-01,5.61E-01,-7.76E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,Cs,IBrClCs,ACETONE,15.56,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,2.76E-01,-8.21E-02,-7.70E-01,-3.18E-02,-7.36E-01,9.90E-01,-1.29E-02,8.44E-01,7.95E-01,6.35E-01,-8.88E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,MA,IClClMA,ACETONE,15.52,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.23E-01,4.39E-01,7.99E-01,-6.15E-02,-7.30E-01,-9.63E-01,8.68E-03,5.10E-03,6.12E-01,8.11E-01,-8.60E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,ACETONE,15.3,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.25E-01,-5.88E-01,-9.93E-01,-6.46E-02,-6.67E-01,-9.81E-01,6.76E-02,6.73E-01,-9.18E-01,-6.02E-01,-7.94E-01,2,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,ACETONE,15.25,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.31E-01,-5.56E-01,-7.75E-01,-2.20E-02,-7.33E-01,9.90E-01,-9.50E-03,8.46E-01,4.25E-01,8.07E-01,-8.87E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
