Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,THTO,36,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.42E-01,4.00E-01,-6.40E-01,-6.01E-01,9.88E-01,3.41E-01,5.73E-02,-9.98E-01,-8.02E-01,2.27E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,I,0,0,1,MA,IIIMA,THTO,35.99,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.41E-01,2.06E-01,-5.57E-01,-9.13E-01,9.86E-01,3.60E-01,4.19E-01,-9.99E-01,-7.98E-01,1.79E-02,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,THTO,35.97,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.88E-01,-8.12E-01,-5.14E-01,6.31E-01,9.91E-01,4.03E-01,2.68E-01,-9.99E-01,-8.18E-01,1.36E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,DMSO,35.64,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.41E-01,-5.95E-01,-5.29E-01,-1.93E-02,9.90E-01,3.89E-01,3.20E-01,-9.99E-01,-8.11E-01,9.70E-02,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,THTO,35.6,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.28E-01,-5.08E-01,-4.74E-01,7.52E-01,4.49E-01,1.94E-01,9.53E-01,-9.46E-01,5.32E-01,9.85E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,THTO,35.3,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.41E-01,-5.95E-01,-5.29E-01,-1.93E-02,9.90E-01,3.89E-01,3.20E-01,-9.99E-01,-8.11E-01,9.70E-02,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,I,0,0,1,MA,IIIMA,DMSO,34.31,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.41E-01,2.06E-01,-5.57E-01,-9.13E-01,9.86E-01,3.60E-01,4.19E-01,-9.99E-01,-7.98E-01,1.79E-02,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,FA,IIClFA,THTO,34.29,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.35E-01,3.22E-01,-5.05E-01,-4.97E-01,3.17E-01,1.61E-01,9.62E-01,-9.49E-01,5.59E-01,9.83E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,THTO,33.83,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.81E-01,-8.40E-01,-3.49E-01,7.13E-01,4.67E-01,2.30E-01,9.75E-01,-9.57E-01,5.27E-01,9.79E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,FA,IBrClFA,DMSO,33.76,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.82E-01,-1.12E-01,-4.89E-01,2.13E-01,3.85E-01,1.78E-01,9.58E-01,-9.47E-01,5.46E-01,9.84E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,FA,IBrBrFA,DMSO,33.72,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.33E-01,-6.50E-01,-3.67E-01,1.30E-01,4.04E-01,2.14E-01,9.78E-01,-9.58E-01,5.41E-01,9.78E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,FA,IIBrFA,DMSO,32.75,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.85E-01,-3.16E-01,-3.84E-01,-5.59E-01,3.37E-01,1.98E-01,9.80E-01,-9.59E-01,5.54E-01,9.76E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,I,0,0,1,FA,IIIFA,THTO,32.19,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.34E-01,1.19E-01,-4.02E-01,-8.84E-01,2.66E-01,1.82E-01,9.83E-01,-9.60E-01,5.68E-01,9.74E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,DMSO,31.76,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.81E-01,-8.40E-01,-3.49E-01,7.13E-01,4.67E-01,2.30E-01,9.75E-01,-9.57E-01,5.27E-01,9.79E-01,2,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,FA,IBrBrFA,THTO,29.99,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.33E-01,-6.50E-01,-3.67E-01,1.30E-01,4.04E-01,2.14E-01,9.78E-01,-9.58E-01,5.41E-01,9.78E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,DMF,22.95,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.17E-02,6.43E-01,-6.73E-01,8.18E-01,4.13E-01,1.19E-01,8.33E-01,-9.16E-01,5.42E-01,9.93E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,DMF,22.26,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.52E-02,1.01E-01,-5.82E-01,7.87E-01,4.31E-01,1.57E-01,9.11E-01,-9.33E-01,5.37E-01,9.90E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,NMP,22.17,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.42E-01,6.06E-01,-8.61E-01,6.41E-01,8.88E-01,5.08E-01,-9.94E-01,-9.99E-01,9.69E-01,8.47E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,NMP,22.12,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.30E-01,5.00E-01,-5.95E-01,2.94E-01,3.66E-01,1.40E-01,9.20E-01,-9.34E-01,5.50E-01,9.89E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,NMP,21.92,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.52E-02,1.01E-01,-5.82E-01,7.87E-01,4.31E-01,1.57E-01,9.11E-01,-9.33E-01,5.37E-01,9.90E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,NMP,21.92,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,8.31E-02,1.89E-01,-7.01E-01,7.23E-01,9.91E-01,3.37E-01,-3.70E-01,-9.98E-01,-8.13E-01,4.49E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,NMP,21.91,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.97E-02,6.93E-01,-7.70E-01,7.62E-01,9.90E-01,3.03E-01,-6.17E-01,-9.97E-01,-8.11E-01,5.76E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,DMF,21.57,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.42E-01,6.06E-01,-8.61E-01,6.41E-01,8.88E-01,5.08E-01,-9.94E-01,-9.99E-01,9.69E-01,8.47E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,Cs,IBrClCs,NMP,21.5,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,2.96E-01,-1.72E-01,-7.69E-01,-1.72E-01,8.81E-01,5.51E-01,-9.76E-01,-9.99E-01,9.69E-01,6.95E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,NMP,21.46,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.47E-01,4.52E-01,-8.23E-01,-8.76E-02,8.76E-01,5.23E-01,-9.88E-01,-9.99E-01,9.69E-01,7.74E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,DMF,21.43,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.94E-01,4.08E-02,-8.17E-01,5.88E-01,8.93E-01,5.36E-01,-9.89E-01,-9.99E-01,9.68E-01,7.90E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,DMF,21.23,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,8.31E-02,1.89E-01,-7.01E-01,7.23E-01,9.91E-01,3.37E-01,-3.70E-01,-9.98E-01,-8.13E-01,4.49E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,NMP,21.2,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.94E-01,4.08E-02,-8.17E-01,5.88E-01,8.93E-01,5.36E-01,-9.89E-01,-9.99E-01,9.68E-01,7.90E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,MA,IClClMA,NMP,20.98,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.37E-01,5.64E-01,-7.11E-01,1.51E-01,9.89E-01,3.22E-01,-3.20E-01,-9.98E-01,-8.07E-01,4.17E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,NMP,20.85,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.45E-01,-5.52E-01,-7.60E-01,5.28E-01,8.97E-01,5.62E-01,-9.79E-01,-9.99E-01,9.68E-01,7.15E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,MA,IBrClMA,NMP,20.85,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.90E-01,-2.34E-02,-6.28E-01,6.64E-02,9.90E-01,3.56E-01,8.43E-05,-9.98E-01,-8.09E-01,2.64E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,Cs,IBrClCs,DMF,20.81,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,2.96E-01,-1.72E-01,-7.69E-01,-1.72E-01,8.81E-01,5.51E-01,-9.76E-01,-9.99E-01,9.69E-01,6.95E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,NMP,20.71,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.17E-02,6.43E-01,-6.73E-01,8.18E-01,4.13E-01,1.19E-01,8.33E-01,-9.16E-01,5.42E-01,9.93E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,MA,IClClMA,DMF,20.69,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.37E-01,5.64E-01,-7.11E-01,1.51E-01,9.89E-01,3.22E-01,-3.20E-01,-9.98E-01,-8.07E-01,4.17E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Br,0,1,0,Cs,BrBrBrCs,DMF,20.6,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,2.95E-01,-8.57E-01,-6.89E-01,4.64E-01,9.02E-01,5.88E-01,-9.59E-01,-9.99E-01,9.67E-01,6.20E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Br,0,1,0,Cs,BrBrBrCs,NMP,20.54,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,2.95E-01,-8.57E-01,-6.89E-01,4.64E-01,9.02E-01,5.88E-01,-9.59E-01,-9.99E-01,9.67E-01,6.20E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,NMP,20.49,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.36E-01,-4.38E-01,-6.16E-01,6.79E-01,9.91E-01,3.70E-01,-5.72E-02,-9.98E-01,-8.16E-01,3.01E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,NMP,20.48,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.92E-01,-3.70E-01,-7.10E-01,-7.70E-01,8.68E-01,5.65E-01,-9.49E-01,-9.99E-01,9.70E-01,5.68E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,MA,IBrClMA,DMF,20.47,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.90E-01,-2.34E-02,-6.28E-01,6.64E-02,9.90E-01,3.56E-01,8.43E-05,-9.98E-01,-8.09E-01,2.64E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,MA,BrBrClMA,DMF,20.46,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.36E-01,-4.38E-01,-6.16E-01,6.79E-01,9.91E-01,3.70E-01,-5.72E-02,-9.98E-01,-8.16E-01,3.01E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,DMF,20.44,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.47E-01,4.52E-01,-8.23E-01,-8.76E-02,8.76E-01,5.23E-01,-9.88E-01,-9.99E-01,9.69E-01,7.74E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,DMF,20.34,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.46E-01,2.67E-01,-7.77E-01,-7.33E-01,8.62E-01,5.39E-01,-9.73E-01,-9.99E-01,9.70E-01,6.74E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,NMP,20.26,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.42E-01,4.00E-01,-6.40E-01,-6.01E-01,9.88E-01,3.41E-01,5.73E-02,-9.98E-01,-8.02E-01,2.27E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,DMF,20.08,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.28E-01,-5.08E-01,-4.74E-01,7.52E-01,4.49E-01,1.94E-01,9.53E-01,-9.46E-01,5.32E-01,9.85E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,Cs,IIBrCs,DMF,20.03,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,3.92E-01,-3.70E-01,-7.10E-01,-7.70E-01,8.68E-01,5.65E-01,-9.49E-01,-9.99E-01,9.70E-01,5.68E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,NMP,19.99,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.41E-01,-5.95E-01,-5.29E-01,-1.93E-02,9.90E-01,3.89E-01,3.20E-01,-9.99E-01,-8.11E-01,9.70E-02,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,NMP,19.96,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.46E-01,2.67E-01,-7.77E-01,-7.33E-01,8.62E-01,5.39E-01,-9.73E-01,-9.99E-01,9.70E-01,6.74E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,DMF,19.96,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.97E-02,6.93E-01,-7.70E-01,7.62E-01,9.90E-01,3.03E-01,-6.17E-01,-9.97E-01,-8.11E-01,5.76E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,DMF,19.93,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.45E-01,-5.52E-01,-7.60E-01,5.28E-01,8.97E-01,5.62E-01,-9.79E-01,-9.99E-01,9.68E-01,7.15E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,NMP,19.91,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.28E-01,-5.08E-01,-4.74E-01,7.52E-01,4.49E-01,1.94E-01,9.53E-01,-9.46E-01,5.32E-01,9.85E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,DMF,19.73,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.42E-01,4.00E-01,-6.40E-01,-6.01E-01,9.88E-01,3.41E-01,5.73E-02,-9.98E-01,-8.02E-01,2.27E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,NMP,19.67,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.44E-01,-6.83E-01,-7.00E-01,-2.54E-01,8.86E-01,5.77E-01,-9.54E-01,-9.99E-01,9.68E-01,5.95E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,I,0,0,1,Cs,IIICs,NMP,19.61,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,4.37E-01,5.85E-02,-7.20E-01,-9.45E-01,8.47E-01,5.54E-01,-9.43E-01,-9.99E-01,9.71E-01,5.41E-01,0,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Br,0,0.333333333,0.666666667,MA,IIBrMA,NMP,19.56,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.973333333,111.2333333,3.161666667,10.90533333,2.76,47,2.92E-01,-2.34E-01,-5.43E-01,-6.53E-01,9.88E-01,3.74E-01,3.70E-01,-9.99E-01,-8.05E-01,5.76E-02,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,FA,IIClFA,DMF,19.54,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.35E-01,3.22E-01,-5.05E-01,-4.97E-01,3.17E-01,1.61E-01,9.62E-01,-9.49E-01,5.59E-01,9.83E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,DMF,19.46,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.30E-01,5.00E-01,-5.95E-01,2.94E-01,3.66E-01,1.40E-01,9.20E-01,-9.34E-01,5.50E-01,9.89E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,DMF,19.14,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.88E-01,-8.12E-01,-5.14E-01,6.31E-01,9.91E-01,4.03E-01,2.68E-01,-9.99E-01,-8.18E-01,1.36E-01,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,DMF,19.07,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.44E-01,-6.83E-01,-7.00E-01,-2.54E-01,8.86E-01,5.77E-01,-9.54E-01,-9.99E-01,9.68E-01,5.95E-01,0,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
I,I,I,0,0,1,FA,IIIFA,DMF,19.06,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.34E-01,1.19E-01,-4.02E-01,-8.84E-01,2.66E-01,1.82E-01,9.83E-01,-9.60E-01,5.68E-01,9.74E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,NMP,18.8,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.88E-01,-8.12E-01,-5.14E-01,6.31E-01,9.91E-01,4.03E-01,2.68E-01,-9.99E-01,-8.18E-01,1.36E-01,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Br,Cl,0.333333333,0.333333333,0.333333333,FA,IBrClFA,NMP,18.74,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.82E-01,-1.12E-01,-4.89E-01,2.13E-01,3.85E-01,1.78E-01,9.58E-01,-9.47E-01,5.46E-01,9.84E-01,2,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,I,I,0,0,1,MA,IIIMA,NMP,18.57,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53,3.41E-01,2.06E-01,-5.57E-01,-9.13E-01,9.86E-01,3.60E-01,4.19E-01,-9.99E-01,-7.98E-01,1.79E-02,3,1.1,32.3,27.3,4.09,96.2,-0.01,0,0,0,1,0,0,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,DMF,18.42,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.41E-01,-5.95E-01,-5.29E-01,-1.93E-02,9.90E-01,3.89E-01,3.20E-01,-9.99E-01,-8.11E-01,9.70E-02,3,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
Br,Br,Br,0,1,0,FA,BrBrBrFA,DMF,18.39,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.81E-01,-8.40E-01,-3.49E-01,7.13E-01,4.67E-01,2.30E-01,9.75E-01,-9.57E-01,5.27E-01,9.79E-01,2,0.95,36.7,26.7,3.86,77.4,0.06,0,0,1,0,0,0,0,0
