Index,Formula,notes,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A site mixing,,Cubic,Tetra,Ortho,Hex,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN
276,RbSr_0.875Ge_0.125Cl_3,arun,0.14,3.96,0,0,1,0,0,0,0,0.875,0,0.125,0,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.124,85.746,0.169,5.971,1.083,37.25,1.81,35.45,3.617,12.968,3.16,17
277,RbCa_0.875Sr_0.125Cl_3,arun,-0.08,4.87,0,0,1,0,0,0,0.875,0.125,0,0,0,0,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.023,46.023,0,6.061,0.994,22.25,1.81,35.45,3.617,12.968,3.16,17
278,RbGe_0.875Pb_0.125Cl_3,arun,-0.25,1.09,0.18,0,1,0,0,0,0,0,0,0.875,0,0.125,1,0,0,5,FALSE,1,0,0,0,1.61,85.468,0,0.788,89.426,1.226,7.84,2.05,38.25,1.81,35.45,3.617,12.968,3.16,17
279,CsSr_0.25Ba_0.25Ge_0.25Sn_0.125Pb_0.125I_3,arun,0.16,2.61,0.06,0,0,1,0,0,0,0.25,0.25,0.25,0.125,0.125,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.108,115.109,0.533,6.547,1.499,48,1.98,126.9,3.06,10.451,2.66,53
280,CsSr_0.25Ba_0.75I_3,arun,0.23,3.48,0,0,0,1,0,0,0,0.25,0.75,0,0,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.308,124.903,0,5.333,0.905,51.5,1.98,126.9,3.06,10.451,2.66,53
281,CsCa_0.25Sr_0.5Ge_0.125Pb_0.125Br_3,arun,-0.08,3.59,0.01,0,0,1,0,0,0.25,0.5,0,0.125,0,0.125,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.08,88.784,0.214,6.29,1.268,38.25,1.96,79.9,3.365,11.814,2.96,35
282,CsSr_0.25Ge_0.75Cl_3,arun,1.38,1.86,0.17,0,0,1,0,0,0,0.25,0,0.75,0,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.843,76.378,1.013,7.349,1.745,33.5,1.81,35.45,3.617,12.968,3.16,17
283,CsSr_0.125Ba_0.625Ge_0.125Sn_0.125Cl_3,arun,1.88,3.38,0,0,0,1,0,0,0,0.125,0.625,0.125,0.125,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.226,120.701,0.319,5.875,1.171,50,1.81,35.45,3.617,12.968,3.16,17
284,CsSr_0.125Sn_0.875I_3,arun,-0.1,0.8,0.19,0,0,1,0,0,0,0.125,0,0,0.875,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.154,114.824,1.05,7.138,1.834,48.5,1.98,126.9,3.06,10.451,2.66,53
285,CsCa_0.875Pb_0.125Br_3,arun,-0.2,4.25,0,0,0,1,0,0,0.875,0,0,0,0,0.125,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.024,60.945,0.045,6.276,1.166,27.75,1.96,79.9,3.365,11.814,2.96,35
