Index,Formula,notes,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A site mixing,,Cubic,Tetra,Ortho,Hex,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN
340,KSrI_1.875Br_1.125,arun,3.02,3.18,0,1,0,0,0,0,0,1,0,0,0,0,0,0.375,0.625,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.973,109.275,3.174,10.962,2.773,46.25
341,RbCaBr_2.625Cl_0.375,arun,-0.01,4.07,0,0,1,0,0,0,1,0,0,0,0,0,0.125,0.875,0,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.941,74.344,3.397,11.958,2.985,32.75
342,KSnBr_0.375Cl_2.625,arun,2.63,0.79,0.14,1,0,0,0,0,0,0,0,0,1,0,0.875,0.125,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.15,118.71,1.2,7.344,1.96,50,1.829,41.006,3.586,12.824,3.135,19.25
343,MASnI_2.25Br_0.75,arun,-0.1,1.09,0.21,0,0,0,1,0,0,0,0,0,1,0,0,0.25,0.75,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.975,115.15,3.136,10.792,2.735,48.5
344,KPbBr_0.75Cl_2.25,arun,2.77,1.97,0.11,1,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.848,46.563,3.554,12.68,3.11,21.5
345,RbSrI_2.625Br_0.375,arun,2.53,3.27,0,0,1,0,0,0,0,1,0,0,0,0,0,0.125,0.875,5,FALSE,1,0,0,0,1.61,85.468,0,1.18,87.62,0,5.695,0.95,38,1.978,121.025,3.098,10.621,2.698,50.75
346,RbGeBr_1.125Cl_1.875,arun,-0.17,0.75,0.14,0,1,0,0,0,0,0,0,1,0,0,0.625,0.375,0,5,FALSE,1,0,0,0,1.61,85.468,0,0.73,72.63,1.35,7.9,2.01,32,1.866,52.119,3.523,12.535,3.085,23.75
347,KGeI_1.875Br_1.125,arun,2.67,0.45,0.08,1,0,0,0,0,0,0,0,1,0,0,0,0.375,0.625,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.973,109.275,3.174,10.962,2.773,46.25
348,RbPbI_0.75Br_2.25,arun,1.79,1.59,0.17,0,1,0,0,0,0,0,0,0,0,1,0,0.75,0.25,5,FALSE,1,0,0,0,1.61,85.468,0,1.19,207,0.36,7.417,2.33,82,1.965,91.65,3.289,11.473,2.885,39.5
349,KPbI_1.125Br_1.875,arun,2.79,1.48,0.18,1,0,0,0,0,0,0,0,0,0,1,0,0.625,0.375,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.968,97.525,3.251,11.303,2.848,41.75
350,MACaBr_0.75Cl_2.25,arun,0.07,4.85,0,0,0,0,1,0,1,0,0,0,0,0,0.75,0.25,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1,40.08,0,6.113,1,20,1.848,46.563,3.554,12.68,3.11,21.5
351,MABaBr_0.375Cl_2.625,arun,0.25,4.62,0,0,0,0,1,0,0,0,1,0,0,0,0.875,0.125,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.829,41.006,3.586,12.824,3.135,19.25
352,RbBaBr_1.875Cl_1.125,arun,0.65,3.8,0,0,1,0,0,0,0,0,1,0,0,0,0.375,0.625,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.904,63.231,3.46,12.247,3.035,28.25
353,KGeBr_0.375Cl_2.625,arun,2.4,0.79,0.14,1,0,0,0,0,0,0,0,1,0,0,0.875,0.125,0,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.829,41.006,3.586,12.824,3.135,19.25
354,CsSnI_2.625Br_0.375,arun,-0.13,0.47,0.09,0,0,1,0,0,0,0,0,0,1,0,0,0.125,0.875,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.978,121.025,3.098,10.621,2.698,50.75
355,KSrBr_2.25Cl_0.75,arun,2.24,3.78,0,1,0,0,0,0,0,1,0,0,0,0,0.25,0.75,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.923,68.788,3.428,12.103,3.01,30.5
356,CsSrI_1.5Br_1.5,arun,0.15,3.7,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0.5,5,FALSE,1,0,0,0,1.74,132.91,0,1.18,87.62,0,5.695,0.95,38,1.97,103.4,3.213,11.133,2.81,44
357,KGeI_0.375Br_2.625,arun,0.99,0.54,0.1,1,0,0,0,0,0,0,0,1,0,0,0,0.875,0.125,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.963,85.775,3.327,11.644,2.923,37.25
358,RbSnBr_2.625Cl_0.375,arun,-0.05,0.58,0.1,0,1,0,0,0,0,0,0,0,1,0,0.125,0.875,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.941,74.344,3.397,11.958,2.985,32.75
359,RbSnI_1.5Br_1.5,arun,2.25,0.46,0.08,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0.5,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.97,103.4,3.213,11.133,2.81,44
360,MASnI_1.875Br_1.125,arun,-0.1,1.1,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0.375,0.625,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.973,109.275,3.174,10.962,2.773,46.25
361,KBaBr_2.625Cl_0.375,arun,1.71,3.55,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.875,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.35,137.33,0,5.212,0.89,56,1.941,74.344,3.397,11.958,2.985,32.75
362,RbSnBr_1.125Cl_1.875,arun,-0.05,0.71,0.13,0,1,0,0,0,0,0,0,0,1,0,0.625,0.375,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.15,118.71,1.2,7.344,1.96,50,1.866,52.119,3.523,12.535,3.085,23.75
363,KCaBr_1.5Cl_1.5,arun,2.57,4.16,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.885,57.675,3.491,12.391,3.06,26
364,RbCaBr_0.375Cl_2.625,arun,-0.05,4.65,0,0,1,0,0,0,1,0,0,0,0,0,0.875,0.125,0,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.829,41.006,3.586,12.824,3.135,19.25
365,KGeI_2.25Br_0.75,arun,2.72,0.49,0.1,1,0,0,0,0,0,0,0,1,0,0,0,0.25,0.75,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.975,115.15,3.136,10.792,2.735,48.5
366,CsSnI_2.25Br_0.75,arun,-0.11,0.46,0.08,0,0,1,0,0,0,0,0,0,1,0,0,0.25,0.75,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.975,115.15,3.136,10.792,2.735,48.5
367,MASrBr_1.875Cl_1.125,arun,0.07,4.46,0,0,0,0,1,0,0,1,0,0,0,0,0.375,0.625,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.904,63.231,3.46,12.247,3.035,28.25
368,RbSrBr_0.375Cl_2.625,arun,0.22,4.35,0,0,1,0,0,0,0,1,0,0,0,0,0.875,0.125,0,5,FALSE,1,0,0,0,1.61,85.468,0,1.18,87.62,0,5.695,0.95,38,1.829,41.006,3.586,12.824,3.135,19.25
369,KPbI_2.25Br_0.75,arun,2.91,1.44,0.2,1,0,0,0,0,0,0,0,0,0,1,0,0.25,0.75,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.975,115.15,3.136,10.792,2.735,48.5
370,CsGeBr_0.75Cl_2.25,arun,1.32,0.93,0.17,0,0,1,0,0,0,0,0,1,0,0,0.75,0.25,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.848,46.563,3.554,12.68,3.11,21.5
371,MASnBr_2.25Cl_0.75,arun,-0.2,1.72,0.17,0,0,0,1,0,0,0,0,0,1,0,0.25,0.75,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.923,68.788,3.428,12.103,3.01,30.5
372,FACaI_1.875Br_1.125,arun,-0.3,3.51,0,0,0,0,0,1,1,0,0,0,0,0,0,0.375,0.625,5,FALSE,1,0,0,0,2.53,44.056,0.25,1,40.08,0,6.113,1,20,1.973,109.275,3.174,10.962,2.773,46.25
373,KSrBr_1.5Cl_1.5,arun,2.86,3.93,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.885,57.675,3.491,12.391,3.06,26
374,MASnBr_0.375Cl_2.625,arun,-0.24,2.11,0.11,0,0,0,1,0,0,0,0,0,1,0,0.875,0.125,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.829,41.006,3.586,12.824,3.135,19.25
375,KCaBr_1.875Cl_1.125,arun,2.56,4.02,0,1,0,0,0,0,1,0,0,0,0,0,0.375,0.625,0,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.904,63.231,3.46,12.247,3.035,28.25
376,MACaI_1.125Br_1.875,arun,0.13,3.93,0,0,0,0,1,0,1,0,0,0,0,0,0,0.625,0.375,5,FALSE,1,0,0,0,2.17,32.07,2.3,1,40.08,0,6.113,1,20,1.968,97.525,3.251,11.303,2.848,41.75
377,MASrBr_2.625Cl_0.375,arun,0.01,4.27,0,0,0,0,1,0,0,1,0,0,0,0,0.125,0.875,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.941,74.344,3.397,11.958,2.985,32.75
378,KSrI_1.5Br_1.5,arun,3.03,3.29,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,5,FALSE,1,0,0,0,1.51,39.09,0,1.18,87.62,0,5.695,0.95,38,1.97,103.4,3.213,11.133,2.81,44
379,MABaI_1.125Br_1.875,arun,0.23,3.78,0,0,0,0,1,0,0,0,1,0,0,0,0,0.625,0.375,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.968,97.525,3.251,11.303,2.848,41.75
380,MABaBr_1.125Cl_1.875,arun,0.3,4.57,0,0,0,0,1,0,0,0,1,0,0,0,0.625,0.375,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.866,52.119,3.523,12.535,3.085,23.75
381,MABaI_0.375Br_2.625,arun,0.15,3.94,0,0,0,0,1,0,0,0,1,0,0,0,0,0.875,0.125,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.35,137.33,0,5.212,0.89,56,1.963,85.775,3.327,11.644,2.923,37.25
382,KPbBr_1.125Cl_1.875,arun,2.78,1.89,0.12,1,0,0,0,0,0,0,0,0,0,1,0.625,0.375,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.19,207,0.36,7.417,2.33,82,1.866,52.119,3.523,12.535,3.085,23.75
383,KGeBr_1.5Cl_1.5,arun,2.53,0.7,0.14,1,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,5,FALSE,1,0,0,0,1.51,39.09,0,0.73,72.63,1.35,7.9,2.01,32,1.885,57.675,3.491,12.391,3.06,26
384,KBaI_0.75Br_2.25,arun,2.71,3.32,0,1,0,0,0,0,0,0,1,0,0,0,0,0.75,0.25,5,FALSE,1,0,0,0,1.51,39.09,0,1.35,137.33,0,5.212,0.89,56,1.965,91.65,3.289,11.473,2.885,39.5
385,MASnI_2.625Br_0.375,arun,-0.11,1.03,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0.125,0.875,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.978,121.025,3.098,10.621,2.698,50.75
386,KSnBr_1.125Cl_1.875,arun,2.67,0.67,0.12,1,0,0,0,0,0,0,0,0,1,0,0.625,0.375,0,5,FALSE,1,0,0,0,1.51,39.09,0,1.15,118.71,1.2,7.344,1.96,50,1.866,52.119,3.523,12.535,3.085,23.75
387,FAPbBr_2.625Cl_0.375,arun,-0.91,2.23,0.1,0,0,0,0,1,0,0,0,0,0,1,0.125,0.875,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.941,74.344,3.397,11.958,2.985,32.75
388,FASrI_1.5Br_1.5,arun,-0.44,3.53,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.5,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,87.62,0,5.695,0.95,38,1.97,103.4,3.213,11.133,2.81,44
389,FASrBr_0.375Cl_2.625,arun,-0.8,4.31,0,0,0,0,0,1,0,1,0,0,0,0,0.875,0.125,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,87.62,0,5.695,0.95,38,1.829,41.006,3.586,12.824,3.135,19.25
390,FASrBr_0.75Cl_2.25,arun,-0.69,4.29,0,0,0,0,0,1,0,1,0,0,0,0,0.75,0.25,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,87.62,0,5.695,0.95,38,1.848,46.563,3.554,12.68,3.11,21.5
391,FACaI_1.5Br_1.5,arun,-0.37,3.54,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0.5,5,FALSE,1,0,0,0,2.53,44.056,0.25,1,40.08,0,6.113,1,20,1.97,103.4,3.213,11.133,2.81,44
392,FABaBr_1.875Cl_1.125,arun,-0.52,4.02,0,0,0,0,0,1,0,0,1,0,0,0,0.375,0.625,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.35,137.33,0,5.212,0.89,56,1.904,63.231,3.46,12.247,3.035,28.25
393,FAPbBr_0.375Cl_2.625,arun,-1.03,2.64,0.05,0,0,0,0,1,0,0,0,0,0,1,0.875,0.125,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.829,41.006,3.586,12.824,3.135,19.25
394,FABaI_2.625Br_0.375,arun,-0.47,3.39,0,0,0,0,0,1,0,0,1,0,0,0,0,0.125,0.875,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.35,137.33,0,5.212,0.89,56,1.978,121.025,3.098,10.621,2.698,50.75
395,MAPbBr_0.75Cl_2.25,arun,-0.15,2.3,0.08,0,0,0,1,0,0,0,0,0,0,1,0.75,0.25,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.848,46.563,3.554,12.68,3.11,21.5
396,MAPbI_1.5Br_1.5,arun,0.02,1.89,0.16,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.97,103.4,3.213,11.133,2.81,44
397,MAPbBr_1.5Cl_1.5,arun,-0.15,2.26,0.08,0,0,0,1,0,0,0,0,0,0,1,0.5,0.5,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.885,57.675,3.491,12.391,3.06,26
398,MAPbBr_2.25Cl_0.75,arun,-0.13,2.09,0.11,0,0,0,1,0,0,0,0,0,0,1,0.25,0.75,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923,68.788,3.428,12.103,3.01,30.5
399,MAPbI_2.25Br_0.75,arun,0.06,1.83,0.18,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.75,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.975,115.15,3.136,10.792,2.735,48.5
400,MAPbI_0.75Br_2.25,arun,-0.05,1.98,0.14,0,0,0,1,0,0,0,0,0,0,1,0,0.75,0.25,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.965,91.65,3.289,11.473,2.885,39.5
428,CsBaI_2.25_Cl_0.75,arun,1.21,3.72,0,0,0,1,0,0,0,0,1,0,0,0,0.25,0,0.75,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.938,104.038,3.199,11.08,2.785,44
429,CsBaI_2.625_Cl_0.375,arun,0.77,3.5,0,0,0,1,0,0,0,0,1,0,0,0,0.125,0,0.875,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.959,115.469,3.13,10.766,2.723,48.5
430,CsBaI_0.375_Cl_2.625,arun,2.03,4.07,0,0,0,1,0,0,0,0,1,0,0,0,0.875,0,0.125,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.831,46.881,3.547,12.653,3.098,21.5
431,CsBaI_0.75_Cl_2.25,arun,1.84,3.9,0,0,0,1,0,0,0,0,1,0,0,0,0.75,0,0.25,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.853,58.313,3.478,12.339,3.035,26
432,CsBaI_1.125_Cl_1.875,arun,1.77,3.6,0,0,0,1,0,0,0,0,1,0,0,0,0.625,0,0.375,5,FALSE,1,0,0,0,1.74,132.91,0,1.35,137.33,0,5.212,0.89,56,1.874,69.744,3.408,12.024,2.973,30.5
433,CsCaCl_1.5_I_1.5,arun,1.59,4.01,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0.5,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.895,81.175,3.339,11.71,2.91,35
434,CsCaCl_2.625_I_0.375,arun,1.48,4.47,0,0,0,1,0,0,1,0,0,0,0,0,0.875,0,0.125,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.831,46.881,3.547,12.653,3.098,21.5
435,CsCaCl_0.375_I_2.625,arun,0.6,3.65,0,0,0,1,0,0,1,0,0,0,0,0,0.125,0,0.875,5,FALSE,1,0,0,0,1.74,132.91,0,1,40.08,0,6.113,1,20,1.959,115.469,3.13,10.766,2.723,48.5
436,CsSnCl_2.25_I_0.75,arun,1.45,1.69,0.18,0,0,1,0,0,0,0,0,0,1,0,0.75,0,0.25,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.853,58.313,3.478,12.339,3.035,26
437,KCaI_0.375_Cl_2.625,arun,2.49,4.64,0,1,0,0,0,0,1,0,0,0,0,0,0.875,0,0.125,5,FALSE,1,0,0,0,1.51,39.09,0,1,40.08,0,6.113,1,20,1.831,46.881,3.547,12.653,3.098,21.5
438,RbBaI_2.25_Cl_0.75,arun,2.51,3.74,0,0,1,0,0,0,0,0,1,0,0,0,0.25,0,0.75,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.938,104.038,3.199,11.08,2.785,44
439,RbBaI_2.625_Cl_0.375,arun,2.41,3.8,0,0,1,0,0,0,0,0,1,0,0,0,0.125,0,0.875,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.959,115.469,3.13,10.766,2.723,48.5
440,RbBaI_0.375_Cl_2.625,arun,1.58,3.79,0,0,1,0,0,0,0,0,1,0,0,0,0.875,0,0.125,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.831,46.881,3.547,12.653,3.098,21.5
441,RbBaI_0.75_Cl_2.25,arun,2.08,3.93,0,0,1,0,0,0,0,0,1,0,0,0,0.75,0,0.25,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.853,58.313,3.478,12.339,3.035,26
442,RbBaI_1.125_Cl_1.875,arun,2.67,3.61,0,0,1,0,0,0,0,0,1,0,0,0,0.625,0,0.375,5,FALSE,1,0,0,0,1.61,85.468,0,1.35,137.33,0,5.212,0.89,56,1.874,69.744,3.408,12.024,2.973,30.5
443,RbCaCl_1.5_I_1.5,arun,2.48,3.81,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.895,81.175,3.339,11.71,2.91,35
444,RbCaCl_1.875_I_1.125,arun,2.54,3.52,0,0,1,0,0,0,1,0,0,0,0,0,0.625,0,0.375,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.874,69.744,3.408,12.024,2.973,30.5
445,RbCaCl_2.25_I_0.75,arun,1.84,4.25,0,0,1,0,0,0,1,0,0,0,0,0,0.75,0,0.25,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.853,58.313,3.478,12.339,3.035,26
446,RbCaCl_0.75_I_2.25,arun,2.45,3.78,0,0,1,0,0,0,1,0,0,0,0,0,0.25,0,0.75,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.938,104.038,3.199,11.08,2.785,44
447,RbCaCl_1.125_I_1.875,arun,2.45,3.77,0,0,1,0,0,0,1,0,0,0,0,0,0.375,0,0.625,5,FALSE,1,0,0,0,1.61,85.468,0,1,40.08,0,6.113,1,20,1.916,92.606,3.269,11.395,2.848,39.5
448,FAGeI_1.125_Cl_1.875,arun,-0.99,2.16,0.11,0,0,0,0,1,0,0,0,1,0,0,0.625,0,0.375,5,FALSE,1,0,0,0,2.53,44.056,0.25,0.73,72.63,1.35,7.9,2.01,32,1.874,69.744,3.408,12.024,2.973,30.5
449,MAPbCl_1.125_I_1.875,arun,0.08,1.87,0.16,0,0,0,1,0,0,0,0,0,0,1,0.375,0,0.625,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916,92.606,3.269,11.395,2.848,39.5
450,MASrCl_0.75_I_2.25,arun,0.18,3.69,0,0,0,0,1,0,0,1,0,0,0,0,0.25,0,0.75,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,87.62,0,5.695,0.95,38,1.938,104.038,3.199,11.08,2.785,44
451,FASrCl_1.5_I_1.5,arun,-0.34,3.59,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0.5,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,87.62,0,5.695,0.95,38,1.895,81.175,3.339,11.71,2.91,35
533,MAPb_0.25Sn_0.75I_3,arun,-0.12,1.11,0.15,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.16,140.783,0.99,7.362,2.053,58,1.98,126.9,3.06,10.451,2.66,53
536,MAPb_0.5Sn_0.5I_3,arun,-0.06,1.28,0.16,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.17,162.855,0.78,7.381,2.145,66,1.98,126.9,3.06,10.451,2.66,53
538,MAPb_0.75Sn_0.25I_3,arun,-0.02,1.41,0.15,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.18,184.928,0.57,7.399,2.238,74,1.98,126.9,3.06,10.451,2.66,53
541,FAPb_0.25Sn_0.75I_3,arun,-0.69,1.22,0.15,0,0,0,0,1,0,0,0,0,0.75,0.25,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.16,140.783,0.99,7.362,2.053,58,1.98,126.9,3.06,10.451,2.66,53
543,FAPb_0.5Sn_0.5I_3,arun,-0.65,1.29,0.16,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.17,162.855,0.78,7.381,2.145,66,1.98,126.9,3.06,10.451,2.66,53
545,FAPb_0.75Sn_0.25I_3,arun,-0.59,1.53,0.15,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,1,5,FALSE,1,0,0,0,2.53,44.056,0.25,1.18,184.928,0.57,7.399,2.238,74,1.98,126.9,3.06,10.451,2.66,53
547,MAPbI_2.5Br_0.5,arun,0.03,1.79,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.167,0.833,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.977,119.051,3.111,10.679,2.71,49.994
549,MAPbI_2Br,arun,-0.01,1.87,0.15,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.667,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.973,111.249,3.162,10.905,2.76,47.006
553,MAPbIBr_2,arun,-0.07,1.95,0.14,0,0,0,1,0,0,0,0,0,0,1,0,0.667,0.333,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.967,95.551,3.263,11.36,2.86,40.994
555,CsPbI_2Br,arun,0.01,1.52,0.15,0,0,1,0,0,0,0,0,0,0,1,0,0.333,0.667,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.973,111.249,3.162,10.905,2.76,47.006
557,CsPbI_1.5Br_1.5,arun,-0.02,1.6,0.15,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.97,103.4,3.213,11.133,2.81,44
559,CsPbIBr_2,arun,-0.06,1.63,0.14,0,0,1,0,0,0,0,0,0,0,1,0,0.667,0.333,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.967,95.551,3.263,11.36,2.86,40.994
561,CsSn_0.5Pb_0.5I_3,arun,-0.04,0.97,0.16,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.17,162.855,0.78,7.381,2.145,66,1.98,126.9,3.06,10.451,2.66,53
563,CsSn_0.5Ge_0.5I_3,arun,1.51,0.56,0.16,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,0.94,95.67,1.275,7.622,1.985,41,1.98,126.9,3.06,10.451,2.66,53
565,CsSn_0.75Ge_0.25Br_3,arun,-0.27,0.6,0.16,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.045,107.19,1.238,7.483,1.973,45.5,1.96,79.9,3.365,11.814,2.96,35
569,CsSn_0.25Ge_0.75Br_3,arun,-0.28,0.61,0.16,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.835,84.15,1.313,7.761,1.998,36.5,1.96,79.9,3.365,11.814,2.96,35
19,FAGeCl_3,yjq829,-1.404,3.048,0.023003392,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,2.53,44.056,0.25,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
