UMAP1,UMAP2,True Binding Energy
10.251876,5.2955294,9.33
9.34193,7.8568187,9.27
9.239357,7.861016,9.09
8.91804,7.8258333,9.07
9.268793,7.684679,9.04
9.630324,4.9681644,9.01
-0.79797995,0.75360984,8.78
8.866662,7.7737083,8.72
9.963452,5.0819073,8.64
9.519301,7.4619274,8.63
10.157563,5.1996937,8.58
-2.2444358,3.9960296,8.42
-0.7128402,0.7152216,8.39
-1.1058016,1.2543505,8.18
-1.8197132,3.1865141,8.07
8.666251,7.6441197,7.69
9.7542305,5.00184,7.63
9.866162,5.04976,7.62
8.453975,7.6705766,7.51
8.713916,8.064376,7.49
8.619294,7.6389527,7.46
9.466537,4.8689194,7.46
-1.5642614,4.4359694,7.18
8.519659,7.6861105,7.01
8.258634,7.799813,7.0
8.46597,7.958008,6.85
8.869448,7.9973445,6.8
9.8115225,5.049342,5.72
-0.45145833,0.6406886,5.41
