A_ion_radius,A_atomic_wt,A_EA,A_IE,A_EN,B_ion_radius,B_atomic_wt,B_EA,B_IE,B_EN,X_ion_radius,X_atomic_wt,X_EA,X_IE,X_EN,bg
-0.961265102007253,0.7311629762379267,1.0363772193827165,-1.0364402356592441,-1.0416222122828198,0.06550723486283552,-0.37389098215633365,-0.4440437464558191,-0.4085205105933922,-0.4917326409802179,-0.32300323688088184,-0.3267229967120812,0.32539088075433764,0.32681574738725333,0.3244209846068324,3.1427750184968026
-0.8490756724155747,0.6360347928074032,0.913557020604451,-0.9124399710637959,-0.9175192582323561,0.07145517876441695,-0.38676595766896843,-0.47526294178289363,-0.4323903202329891,-0.5168000210710734,-0.4686582047759429,-0.47215787839819945,0.47115100972129176,0.4723578182704205,0.4701299262231514,3.262391804226574
-1.0011302512118583,0.7642487112199521,1.079869275809317,-1.0802624805990406,-1.085522464105465,0.0643105413458662,-0.3734099258362499,-0.4388862956009545,-0.4051354992169643,-0.48872665603586146,-0.28444075647957556,-0.28825286952843454,0.2868179088061095,0.2883163557622844,0.28585494940787404,3.1122557872531766
-0.9291830697716341,0.6981226074944866,1.0000289019767394,-0.9990287182100364,-1.0045193735597657,0.07467320827672208,-0.4109062657605353,-0.5013027769246212,-0.45684595161124847,-0.5469515175164611,-0.4720855989834425,-0.47585762054935593,0.47472214667543516,0.47605286981108375,0.4736459961349224,3.2745666456090863
-0.8974228044781474,0.6735993589135432,0.9657647926897774,-0.9647298096066577,-0.9700519966908436,0.0732787068628113,-0.40080554781689665,-0.49021058200648515,-0.4464904306245592,-0.5342336333080356,-0.46901929737664066,-0.4726815099661451,0.47159537724102774,0.47287747703219885,0.47054251529410474,3.268188701658106
-0.9016689395814418,0.6837940252471226,0.9717985965094142,-0.9716281445589673,-0.9765723324899308,0.06462034713153231,-0.36266165030369585,-0.43442929875473507,-0.3987052904208113,-0.4790025839589584,-0.34214327314295023,-0.3456836769823307,0.34446816053126295,0.34579442281752765,0.3435207345734525,3.1534197337405705
-0.9233053766969965,0.6979892265869948,0.9946132342865779,-0.994154286057195,-0.9993586625175814,0.06878169118271232,-0.3838821973223388,-0.46277715616323184,-0.4236123116915566,-0.5083370646461584,-0.3904469036861543,-0.39411167037581174,0.3929071219576255,0.39425283432423935,0.3919044188809225,3.1997443400806835
-0.8134296741738475,0.6082463837605072,0.8750452052324129,-0.8738561704368966,-0.8787617156560208,0.07022877065497862,-0.3769418635414867,-0.46500655381486383,-0.4226507574502406,-0.5047062998945229,-0.47009107209443596,-0.4734727288396037,0.4725259400293877,0.47367673414273154,0.4715268375649318,3.259661188075398
-0.9164814683088967,0.6882757666487906,0.9863176674311614,-0.9852986586924355,-0.9907242261103332,0.07416600173970037,-0.40709219949362285,-0.4971936247839472,-0.45298520865421116,-0.5421903178033938,-0.4715858391760841,-0.4753147248616365,0.47419968439690247,0.47551074706391744,0.47313222788158016,3.272675912815689
-0.8947813141960843,0.6759506972374533,0.9638375004423723,-0.9633455494455784,-0.9683994384772813,0.06754727571934485,-0.3748910352983924,-0.45293169416359125,-0.4144119929242624,-0.4970308852594688,-0.387951989550515,-0.39151841388775827,0.3903584288119613,0.3916603956768908,0.3893764205139386,3.1942514928115084
