val_x1tox8_mae,val_x1tox8_rmse,total_val_loss,epoch,step,train_x1tox8_mae,train_x1tox8_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
0.96478670835495,1.1894710063934326,0.96478670835495,0,15,,,,,,,
,,,0,15,1.0117853879928589,1.2850000858306885,1.1025128364562988,0.09072732925415039,0.0,0.0,0.0
0.9434528350830078,1.1627461910247803,0.9434528350830078,1,31,,,,,,,
,,,1,31,0.983425498008728,1.2479740381240845,1.0729589462280273,0.08953340351581573,0.0,0.0,0.0
0.9239025115966797,1.1383535861968994,0.9239025115966797,2,47,,,,,,,
,,,2,47,0.956199049949646,1.2139928340911865,1.0447115898132324,0.0885125920176506,0.0,0.0,0.0
0.9047829508781433,1.1153342723846436,0.9047829508781433,3,63,,,,,,,
,,,3,63,0.9305275678634644,1.1824243068695068,1.0182455778121948,0.08771799504756927,0.0,0.0,0.0
0.8875075578689575,1.0936307907104492,0.8875075578689575,4,79,,,,,,,
,,,4,79,0.905988872051239,1.1523312330245972,0.9932677149772644,0.08727885782718658,0.0,0.0,0.0
0.8711897730827332,1.072731614112854,0.8711897730827332,5,95,,,,,,,
,,,5,95,0.8827452659606934,1.1235312223434448,0.969748854637146,0.08700346201658249,0.0,0.0,0.0
0.8556853532791138,1.0523817539215088,0.8556853532791138,6,111,,,,,,,
,,,6,111,0.8606361150741577,1.0963292121887207,0.94745272397995,0.08681657910346985,0.0,0.0,0.0
0.8416808843612671,1.0336672067642212,0.8416808843612671,7,127,,,,,,,
,,,7,127,0.8390140533447266,1.0685075521469116,0.9256939888000488,0.08667989075183868,0.0,0.0,0.0
0.8278554677963257,1.0156028270721436,0.8278554677963257,8,143,,,,,,,
,,,8,143,0.81889408826828,1.0435583591461182,0.9055545926094055,0.08666037768125534,0.0,0.0,0.0
0.8144712448120117,0.9984265565872192,0.8144712448120117,9,159,,,,,,,
,,,9,159,0.7992957234382629,1.016608476638794,0.8859131932258606,0.08661746233701706,0.0,0.0,0.0
0.8024072647094727,0.9826415777206421,0.8024072647094727,10,175,,,,,,,
,,,10,175,0.780841588973999,0.9975074529647827,0.8674740791320801,0.08663250505924225,0.0,0.0,0.0
0.7911834716796875,0.9681785702705383,0.7911834716796875,11,191,,,,,,,
,,,11,191,0.7631906270980835,0.9726276397705078,0.8500215411186218,0.08683089911937714,0.0,0.0,0.0
0.7805437445640564,0.9545612335205078,0.7805437445640564,12,207,,,,,,,
,,,12,207,0.7465050220489502,0.9520418047904968,0.833609938621521,0.0871049091219902,0.0,0.0,0.0
